,I,V
0,0.0,0.0001807948
1,2e-08,0.002168542
2,4e-08,0.00416088
3,6.000000000000001e-08,0.006154134
4,8e-08,0.008145039
5,1e-07,0.01013932
6,1.2000000000000002e-07,0.01213257
7,1.4e-07,0.01412502
8,1.6e-07,0.01611685
9,1.8e-07,0.01810989
10,2e-07,0.02010049
11,2.2e-07,0.02209261
12,2.4000000000000003e-07,0.02408843
13,2.6e-07,0.02608025
14,2.8e-07,0.02807178
15,3e-07,0.03006465
16,3.2e-07,0.03205575
17,3.4000000000000003e-07,0.0340489
18,3.6e-07,0.03603796
19,3.8e-07,0.03803376
20,4e-07,0.04002755
21,4.2e-07,0.04202007
22,4.4e-07,0.04401303
23,4.6e-07,0.04600402
24,4.800000000000001e-07,0.04799688
25,5e-07,0.04999064
26,5.2e-07,0.05198469
27,5.4e-07,0.05397603
28,5.6e-07,0.05596786
29,5.800000000000001e-07,0.05796097
30,6e-07,0.05995272
31,6.2e-07,0.06194431
32,6.4e-07,0.06393863
33,6.6e-07,0.06593062
34,6.800000000000001e-07,0.06792264
35,7e-07,0.06991709
36,7.2e-07,0.07190637
37,7.4e-07,0.07389734
38,7.6e-07,0.0758912
39,7.8e-07,0.07788254
40,8e-07,0.07987501
41,8.2e-07,0.08186879
42,8.4e-07,0.08385895
43,8.6e-07,0.08584984
44,8.8e-07,0.08784218
45,9.000000000000001e-07,0.08983473
46,9.2e-07,0.09182588
47,9.4e-07,0.09382304
48,9.600000000000001e-07,0.09581285
49,9.8e-07,0.09780544
50,1e-06,0.09979681
51,1e-06,0.09979496
52,9.8e-07,0.09780414
53,9.6e-07,0.0958126
54,9.399999999999999e-07,0.09381945
55,9.2e-07,0.09182816
56,9e-07,0.089834
57,8.799999999999999e-07,0.08784255
58,8.599999999999999e-07,0.08584993
59,8.4e-07,0.08385942
60,8.2e-07,0.08186829
61,8e-07,0.07987413
62,7.799999999999999e-07,0.07788204
63,7.599999999999999e-07,0.07589114
64,7.399999999999999e-07,0.07389703
65,7.199999999999999e-07,0.07190642
66,7e-07,0.0699177
67,6.8e-07,0.06792267
68,6.599999999999999e-07,0.06592972
69,6.4e-07,0.063938
70,6.2e-07,0.06194529
71,6e-07,0.05995065
72,5.8e-07,0.05796119
73,5.599999999999999e-07,0.0559707
74,5.399999999999999e-07,0.05397588
75,5.199999999999999e-07,0.0519847
76,5e-07,0.04999052
77,4.8e-07,0.04799721
78,4.5999999999999994e-07,0.04600463
79,4.399999999999999e-07,0.04401322
80,4.199999999999999e-07,0.04201946
81,4e-07,0.04002723
82,3.7999999999999996e-07,0.03803507
83,3.5999999999999994e-07,0.03604233
84,3.399999999999999e-07,0.03404846
85,3.199999999999999e-07,0.03205572
86,3e-07,0.03006288
87,2.7999999999999997e-07,0.02807125
88,2.5999999999999995e-07,0.02608139
89,2.399999999999999e-07,0.02408762
90,2.199999999999999e-07,0.02209353
91,2e-07,0.02009999
92,1.7999999999999997e-07,0.01810784
93,1.5999999999999995e-07,0.01611673
94,1.3999999999999993e-07,0.01412419
95,1.199999999999999e-07,0.01213135
96,9.999999999999989e-08,0.01014105
97,7.999999999999998e-08,0.008144527
98,5.999999999999995e-08,0.006153421
99,3.999999999999983e-08,0.004160266
100,2.000000000000002e-08,0.002168542
101,0.0,0.0001784453
102,-2.000000000000002e-08,-0.001810085
103,-4.000000000000004e-08,-0.003803316
104,-6.000000000000006e-08,-0.005795114
105,-8.000000000000008e-08,-0.007785999
106,-1.000000000000001e-07,-0.009780144
107,-1.2000000000000012e-07,-0.0117746
108,-1.4000000000000014e-07,-0.01376783
109,-1.6000000000000016e-07,-0.01575738
110,-1.7999999999999997e-07,-0.01775215
111,-2e-07,-0.01974302
112,-2.2e-07,-0.02173565
113,-2.4000000000000003e-07,-0.02372836
114,-2.6000000000000005e-07,-0.02572405
115,-2.8000000000000007e-07,-0.02771472
116,-3.000000000000001e-07,-0.02970754
117,-3.200000000000001e-07,-0.03169709
118,-3.4000000000000013e-07,-0.03368961
119,-3.6000000000000015e-07,-0.03568478
120,-3.8000000000000017e-07,-0.03767657
121,-4e-07,-0.03967083
122,-4.2e-07,-0.04166294
123,-4.4e-07,-0.04365538
124,-4.6000000000000004e-07,-0.04564724
125,-4.800000000000001e-07,-0.04764088
126,-5.000000000000001e-07,-0.04963506
127,-5.200000000000001e-07,-0.05162783
128,-5.400000000000001e-07,-0.05362211
129,-5.600000000000001e-07,-0.0556139
130,-5.800000000000002e-07,-0.05760395
131,-6e-07,-0.05959628
132,-6.2e-07,-0.06158983
133,-6.4e-07,-0.06358252
134,-6.6e-07,-0.06557863
135,-6.800000000000001e-07,-0.06756876
136,-7.000000000000001e-07,-0.06955906
137,-7.200000000000001e-07,-0.07155037
138,-7.400000000000001e-07,-0.07354023
139,-7.600000000000001e-07,-0.07553224
140,-7.800000000000002e-07,-0.07752889
141,-8.000000000000002e-07,-0.0795196
142,-8.2e-07,-0.08151045
143,-8.4e-07,-0.08350532
144,-8.6e-07,-0.08549313
145,-8.8e-07,-0.08748455
146,-9.000000000000001e-07,-0.08947963
