,I,V
0,0.0,0.0
1,2e-08,8.000000000000001e-08
2,4e-08,6.400000000000001e-07
3,6.000000000000001e-08,2.160000000000001e-06
4,8e-08,5.120000000000001e-06
5,1e-07,9.999999999999999e-06
6,1.2000000000000002e-07,1.7280000000000007e-05
7,1.4e-07,2.7440000000000005e-05
8,1.6e-07,4.096000000000001e-05
9,1.8e-07,5.832e-05
10,2e-07,7.999999999999999e-05
11,2.2e-07,0.00010648000000000001
12,2.4000000000000003e-07,0.00013824000000000006
13,2.6e-07,0.00017575999999999998
14,2.8e-07,0.00021952000000000004
15,3e-07,0.00026999999999999995
16,3.2e-07,0.00032768000000000006
17,3.4000000000000003e-07,0.0003930400000000001
18,3.6e-07,0.00046656
19,3.8e-07,0.0005487200000000002
20,4e-07,0.0006399999999999999
21,4.2e-07,0.00074088
22,4.4e-07,0.0008518400000000001
23,4.6e-07,0.0009733599999999999
24,4.800000000000001e-07,0.0011059200000000005
25,5e-07,0.0012499999999999998
26,5.2e-07,0.0014060799999999999
27,5.4e-07,0.00157464
28,5.6e-07,0.0017561600000000003
29,5.800000000000001e-07,0.0019511200000000006
30,6e-07,0.0021599999999999996
31,6.2e-07,0.0023832799999999998
32,6.4e-07,0.0026214400000000005
33,6.6e-07,0.00287496
34,6.800000000000001e-07,0.003144320000000001
35,7e-07,0.00343
36,7.2e-07,0.00373248
37,7.4e-07,0.00405224
38,7.6e-07,0.004389760000000001
39,7.8e-07,0.004745520000000001
40,8e-07,0.0051199999999999996
41,8.2e-07,0.005513679999999999
42,8.4e-07,0.00592704
43,8.6e-07,0.00636056
44,8.8e-07,0.006814720000000001
45,9.000000000000001e-07,0.007290000000000001
46,9.2e-07,0.0077868799999999995
47,9.4e-07,0.00830584
48,9.600000000000001e-07,0.008847360000000004
49,9.8e-07,0.009411919999999999
50,1e-06,0.009999999999999998
51,1e-06,0.009999999999999998
52,9.8e-07,0.009411919999999999
53,9.6e-07,0.008847359999999997
54,9.399999999999999e-07,0.008305839999999998
55,9.2e-07,0.0077868799999999995
56,9e-07,0.00729
57,8.799999999999999e-07,0.006814719999999999
58,8.599999999999999e-07,0.006360559999999999
59,8.4e-07,0.00592704
60,8.2e-07,0.005513679999999999
61,8e-07,0.0051199999999999996
62,7.799999999999999e-07,0.004745519999999999
63,7.599999999999999e-07,0.004389759999999999
64,7.399999999999999e-07,0.004052239999999999
65,7.199999999999999e-07,0.0037324799999999985
66,7e-07,0.00343
67,6.8e-07,0.003144319999999999
68,6.599999999999999e-07,0.002874959999999999
69,6.4e-07,0.0026214400000000005
70,6.2e-07,0.0023832799999999998
71,6e-07,0.0021599999999999996
72,5.8e-07,0.0019511199999999995
73,5.599999999999999e-07,0.0017561599999999994
74,5.399999999999999e-07,0.0015746399999999993
75,5.199999999999999e-07,0.0014060799999999992
76,5e-07,0.0012499999999999998
77,4.8e-07,0.0011059199999999996
78,4.5999999999999994e-07,0.0009733599999999995
79,4.399999999999999e-07,0.0008518399999999995
80,4.199999999999999e-07,0.0007408799999999994
81,4e-07,0.0006399999999999999
82,3.7999999999999996e-07,0.0005487199999999998
83,3.5999999999999994e-07,0.0004665599999999998
84,3.399999999999999e-07,0.0003930399999999997
85,3.199999999999999e-07,0.0003276799999999997
86,3e-07,0.00026999999999999995
87,2.7999999999999997e-07,0.00021951999999999993
88,2.5999999999999995e-07,0.0001757599999999999
89,2.399999999999999e-07,0.00013823999999999987
90,2.199999999999999e-07,0.00010647999999999986
91,2e-07,7.999999999999999e-05
92,1.7999999999999997e-07,5.831999999999998e-05
93,1.5999999999999995e-07,4.095999999999996e-05
94,1.3999999999999993e-07,2.7439999999999958e-05
95,1.199999999999999e-07,1.727999999999996e-05
96,9.999999999999989e-08,9.999999999999967e-06
97,7.999999999999998e-08,5.119999999999995e-06
98,5.999999999999995e-08,2.159999999999995e-06
99,3.999999999999983e-08,6.399999999999918e-07
100,2.000000000000002e-08,8.000000000000024e-08
101,0.0,0.0
102,-2.000000000000002e-08,-8.000000000000024e-08
103,-4.000000000000004e-08,-6.400000000000019e-07
104,-6.000000000000006e-08,-2.1600000000000064e-06
105,-8.000000000000008e-08,-5.120000000000015e-06
106,-1.000000000000001e-07,-1.0000000000000031e-05
107,-1.2000000000000012e-07,-1.728000000000005e-05
108,-1.4000000000000014e-07,-2.7440000000000083e-05
109,-1.6000000000000016e-07,-4.096000000000012e-05
110,-1.7999999999999997e-07,-5.831999999999998e-05
111,-2e-07,-7.999999999999999e-05
112,-2.2e-07,-0.00010648000000000001
113,-2.4000000000000003e-07,-0.00013824000000000006
114,-2.6000000000000005e-07,-0.00017576000000000012
115,-2.8000000000000007e-07,-0.00021952000000000018
116,-3.000000000000001e-07,-0.0002700000000000002
117,-3.200000000000001e-07,-0.00032768000000000033
118,-3.4000000000000013e-07,-0.0003930400000000004
119,-3.6000000000000015e-07,-0.0004665600000000006
120,-3.8000000000000017e-07,-0.0005487200000000007
121,-4e-07,-0.0006399999999999999
122,-4.2e-07,-0.00074088
123,-4.4e-07,-0.0008518400000000001
124,-4.6000000000000004e-07,-0.0009733600000000003
125,-4.800000000000001e-07,-0.0011059200000000005
126,-5.000000000000001e-07,-0.0012500000000000007
127,-5.200000000000001e-07,-0.001406080000000001
128,-5.400000000000001e-07,-0.001574640000000001
129,-5.600000000000001e-07,-0.0017561600000000014
130,-5.800000000000002e-07,-0.0019511200000000017
131,-6e-07,-0.0021599999999999996
132,-6.2e-07,-0.0023832799999999998
133,-6.4e-07,-0.0026214400000000005
134,-6.6e-07,-0.00287496
135,-6.800000000000001e-07,-0.003144320000000001
136,-7.000000000000001e-07,-0.003430000000000001
137,-7.200000000000001e-07,-0.003732480000000001
138,-7.400000000000001e-07,-0.004052240000000002
139,-7.600000000000001e-07,-0.004389760000000002
140,-7.800000000000002e-07,-0.004745520000000003
141,-8.000000000000002e-07,-0.005120000000000003
142,-8.2e-07,-0.005513679999999999
143,-8.4e-07,-0.00592704
144,-8.6e-07,-0.00636056
145,-8.8e-07,-0.006814720000000001
146,-9.000000000000001e-07,-0.007290000000000001
147,-9.200000000000003e-07,-0.007786880000000008
148,-9.400000000000001e-07,-0.008305840000000002
149,-9.6e-07,-0.008847359999999997
150,-9.800000000000001e-07,-0.009411920000000004
151,-1e-06,-0.009999999999999998
152,-1e-06,-0.009999999999999998
153,-9.8e-07,-0.009411919999999999
154,-9.6e-07,-0.008847359999999997
155,-9.399999999999999e-07,-0.008305839999999998
156,-9.2e-07,-0.0077868799999999995
157,-9e-07,-0.00729
158,-8.799999999999999e-07,-0.006814719999999999
159,-8.599999999999999e-07,-0.006360559999999999
160,-8.4e-07,-0.00592704
161,-8.2e-07,-0.005513679999999999
162,-8e-07,-0.0051199999999999996
163,-7.799999999999999e-07,-0.004745519999999999
164,-7.599999999999999e-07,-0.004389759999999999
165,-7.399999999999999e-07,-0.004052239999999999
166,-7.199999999999999e-07,-0.0037324799999999985
167,-7e-07,-0.00343
168,-6.8e-07,-0.003144319999999999
169,-6.599999999999999e-07,-0.002874959999999999
170,-6.4e-07,-0.0026214400000000005
171,-6.2e-07,-0.0023832799999999998
