,I,V
0,0.0,0.0005686932
1,2e-08,0.1994611
2,4e-08,0.3988333
3,6.000000000000001e-08,0.5983907
4,8e-08,0.7978337
5,1e-07,0.9971439
6,1.2000000000000002e-07,1.196621
7,1.4e-07,1.396009
8,1.6e-07,1.595425
9,1.8e-07,1.795
10,2e-07,1.994451
11,2.2e-07,2.193719
12,2.4000000000000003e-07,2.393179
13,2.6e-07,2.592535
14,2.8e-07,2.791925
15,3e-07,2.991412
16,3.2e-07,3.191053
17,3.4000000000000003e-07,3.390452
18,3.6e-07,3.589771
19,3.8e-07,3.789255
20,4e-07,3.988688
21,4.2e-07,4.188047
22,4.4e-07,4.38761
23,4.6e-07,4.58699
24,4.800000000000001e-07,4.786574
25,5e-07,4.986022
26,5.2e-07,5.185399
27,5.4e-07,5.384753
28,5.6e-07,5.584316
29,5.800000000000001e-07,5.783688
30,6e-07,5.982992
31,6.2e-07,6.182618
32,6.4e-07,6.382007
33,6.6e-07,6.580506
34,6.800000000000001e-07,6.781045
35,7e-07,6.980175
36,7.2e-07,7.179453
37,7.4e-07,7.378939
38,7.6e-07,7.578308
39,7.8e-07,7.777547
40,8e-07,7.976708
41,8.2e-07,8.176217
42,8.4e-07,8.375639
43,8.6e-07,8.574611
44,8.8e-07,8.774618
45,9.000000000000001e-07,8.973683
46,9.2e-07,9.172902
47,9.4e-07,9.372384
48,9.600000000000001e-07,9.571792
49,9.8e-07,9.77113
50,1e-06,9.970654
51,1e-06,9.970717
52,9.8e-07,9.771175
53,9.6e-07,9.57181
54,9.399999999999999e-07,9.372454
55,9.2e-07,9.17295
56,9e-07,8.973699
57,8.799999999999999e-07,8.774454
58,8.599999999999999e-07,8.574931
59,8.4e-07,8.375614
60,8.2e-07,8.176249
61,8e-07,7.976851
62,7.799999999999999e-07,7.777549
63,7.599999999999999e-07,7.578346
64,7.399999999999999e-07,7.378878
65,7.199999999999999e-07,7.179479
66,7e-07,6.980128
67,6.8e-07,6.780581
68,6.599999999999999e-07,6.581273
69,6.4e-07,6.382046
70,6.2e-07,6.182705
71,6e-07,5.983141
72,5.8e-07,5.783739
73,5.599999999999999e-07,5.584377
74,5.399999999999999e-07,5.384779
75,5.199999999999999e-07,5.185393
76,5e-07,4.986136
77,4.8e-07,4.78653
78,4.5999999999999994e-07,4.587152
79,4.399999999999999e-07,4.387671
80,4.199999999999999e-07,4.188099
81,4e-07,3.988669
82,3.7999999999999996e-07,3.789251
83,3.5999999999999994e-07,3.589828
84,3.399999999999999e-07,3.390453
85,3.199999999999999e-07,3.191025
86,3e-07,2.991465
87,2.7999999999999997e-07,2.79197
88,2.5999999999999995e-07,2.592603
89,2.399999999999999e-07,2.393312
90,2.199999999999999e-07,2.193833
91,2e-07,1.994507
92,1.7999999999999997e-07,1.794969
93,1.5999999999999995e-07,1.59544
94,1.3999999999999993e-07,1.396015
95,1.199999999999999e-07,1.196685
96,9.999999999999989e-08,0.9971528
97,7.999999999999998e-08,0.7978604
98,5.999999999999995e-08,0.5985272
99,3.999999999999983e-08,0.3989165
100,2.000000000000002e-08,0.1995316
101,0.0,-3.654364e-06
102,-2.000000000000002e-08,-0.198853
103,-4.000000000000004e-08,-0.3983256
104,-6.000000000000006e-08,-0.5979183
105,-8.000000000000008e-08,-0.7972666
106,-1.000000000000001e-07,-0.9965377
107,-1.2000000000000012e-07,-1.196054
108,-1.4000000000000014e-07,-1.395413
109,-1.6000000000000016e-07,-1.594819
110,-1.7999999999999997e-07,-1.794421
111,-2e-07,-1.993814
112,-2.2e-07,-2.193512
113,-2.4000000000000003e-07,-2.392995
114,-2.6000000000000005e-07,-2.592319
115,-2.8000000000000007e-07,-2.791766
116,-3.000000000000001e-07,-2.991379
117,-3.200000000000001e-07,-3.190715
118,-3.4000000000000013e-07,-3.390194
119,-3.6000000000000015e-07,-3.589713
120,-3.8000000000000017e-07,-3.789012
121,-4e-07,-3.988404
122,-4.2e-07,-4.188003
123,-4.4e-07,-4.387458
124,-4.6000000000000004e-07,-4.587002
125,-4.800000000000001e-07,-4.786526
126,-5.000000000000001e-07,-4.985853
127,-5.200000000000001e-07,-5.185204
128,-5.400000000000001e-07,-5.384742
129,-5.600000000000001e-07,-5.584188
130,-5.800000000000002e-07,-5.78357
131,-6e-07,-5.983147
132,-6.2e-07,-6.182486
133,-6.4e-07,-6.381751
134,-6.6e-07,-6.581265
135,-6.800000000000001e-07,-6.780599
136,-7.000000000000001e-07,-6.979895
137,-7.200000000000001e-07,-7.179466
138,-7.400000000000001e-07,-7.37884
139,-7.600000000000001e-07,-7.578135
140,-7.800000000000002e-07,-7.777572
141,-8.000000000000002e-07,-7.976787
142,-8.2e-07,-8.176064
143,-8.4e-07,-8.375608
144,-8.6e-07,-8.574967
145,-8.8e-07,-8.774288
146,-9.000000000000001e-07,-8.973784
147,-9.200000000000003e-07,-9.173052
148,-9.400000000000001e-07,-9.372302
149,-9.6e-07,-9.571795
150,-9.800000000000001e-07,-9.771249
151,-1e-06,-9.970592
152,-1e-06,-9.970587
153,-9.8e-07,-9.771216
154,-9.6e-07,-9.571829
155,-9.399999999999999e-07,-9.372369
156,-9.2e-07,-9.173039
157,-9e-07,-8.973784
158,-8.799999999999999e-07,-8.774333
159,-8.599999999999999e-07,-8.574984
