,I,V
0,0.0,0.000136019
1,2e-07,-0.00231465
2,4e-07,-0.004765932
3,6e-07,-0.007217824
4,8e-07,-0.009669926
5,1e-06,-0.01212172
6,1e-06,-0.01212071
7,8e-07,-0.009670539
8,6e-07,-0.007217931
9,4e-07,-0.004765933
10,2e-07,-0.00231557
11,0.0,0.0001360191
12,-2e-07,0.002593143
13,-4e-07,0.005041773
14,-6e-07,0.007495516
15,-8e-07,0.009945785
16,-1e-06,0.0123986
17,-1e-06,0.01239697
18,-8e-07,0.00994414
19,-6e-07,0.007495
20,-4e-07,0.005041877
21,-2e-07,0.002591609
22,0.0,0.0001358148
