,I,V
0,0.0,0.0001566594
1,2e-07,0.002616922
2,4e-07,0.005069409
3,6e-07,0.007523224
4,8e-07,0.01000461
5,1e-06,0.01243821
6,1e-06,0.01243443
7,8e-07,0.009988276
8,6e-07,0.007527307
9,4e-07,0.005071755
10,2e-07,0.002619575
11,0.0,0.0001619721
12,-2e-07,-0.002289587
13,-4e-07,-0.004744211
14,-6e-07,-0.007197611
15,-8e-07,-0.0096505
16,-1e-06,-0.01210552
17,-1e-06,-0.01210573
18,-8e-07,-0.009649685
19,-6e-07,-0.00719822
20,-4e-07,-0.004742885
21,-2e-07,-0.002290302
22,0.0,0.0001633005
