,I,V
0,0.0,0.0002518906
1,5e-08,0.007614027
2,1e-07,0.01608166
3,1.5e-07,0.02545937
4,2e-07,0.03557808
5,2.5e-07,0.0465267
6,3e-07,0.05826209
7,3.5e-07,0.07087802
8,4e-07,0.08436132
9,4.5e-07,0.09866989
10,5e-07,0.1135792
11,5.5e-07,0.1291168
12,6e-07,0.1452538
13,6.499999999999999e-07,0.1620969
14,7e-07,0.1796511
15,7.5e-07,0.1977568
16,8e-07,0.2164275
17,8.499999999999999e-07,0.2357171
18,9e-07,0.255428
19,9.5e-07,0.275655
20,1e-06,0.2961632
21,1e-06,0.2961975
22,9.5e-07,0.275631
23,9e-07,0.2556441
24,8.499999999999999e-07,0.2360202
25,8e-07,0.2169487
26,7.5e-07,0.1983112
27,7e-07,0.1802163
28,6.499999999999999e-07,0.1626962
29,6e-07,0.1458195
30,5.5e-07,0.1295632
31,5e-07,0.1139247
32,4.4999999999999993e-07,0.09890653
33,4e-07,0.08464441
34,3.5000000000000004e-07,0.07114515
35,3e-07,0.05845895
36,2.4999999999999994e-07,0.04660117
37,2e-07,0.03566207
38,1.5000000000000005e-07,0.0253425
39,1e-07,0.01591658
40,4.9999999999999945e-08,0.007518214
41,0.0,0.000248928
42,-4.9999999999999945e-08,-0.006072416
43,-1.000000000000001e-07,-0.01182066
44,-1.5000000000000005e-07,-0.01717396
45,-2e-07,-0.02239826
46,-2.4999999999999994e-07,-0.02755786
47,-2.999999999999999e-07,-0.03271697
48,-3.5000000000000004e-07,-0.03892154
49,-4e-07,-0.04414665
50,-4.4999999999999993e-07,-0.04993791
51,-5.000000000000001e-07,-0.05553753
52,-5.5e-07,-0.06177211
53,-6e-07,-0.06852856
54,-6.499999999999999e-07,-0.0748546
55,-6.999999999999999e-07,-0.08105549
56,-7.5e-07,-0.08836199
57,-8e-07,-0.09506974
58,-8.499999999999999e-07,-0.1005182
59,-9.000000000000001e-07,-0.1068272
60,-9.5e-07,-0.1123135
61,-1e-06,-0.1176485
62,-1e-06,-0.1174678
63,-9.5e-07,-0.1124181
64,-9e-07,-0.1064521
65,-8.499999999999999e-07,-0.1009027
66,-8e-07,-0.09537265
67,-7.5e-07,-0.08824465
68,-7e-07,-0.08161545
69,-6.499999999999999e-07,-0.07463207
70,-6e-07,-0.06806371
71,-5.5e-07,-0.06198544
72,-5e-07,-0.05529806
73,-4.4999999999999993e-07,-0.04955665
74,-4e-07,-0.04370921
75,-3.5000000000000004e-07,-0.03820594
76,-3e-07,-0.03306371
77,-2.4999999999999994e-07,-0.02813353
78,-2e-07,-0.02284028
79,-1.5000000000000005e-07,-0.01738502
80,-1e-07,-0.01197522
81,-4.9999999999999945e-08,-0.006121755
82,0.0,0.0002444331
