,I,V
0,0.0,0.0001727194
1,5e-08,0.06643562
2,1e-07,0.06124933
3,1.5e-07,0.09122752
4,2e-07,0.1209423
5,2.5e-07,0.1503198
6,3e-07,0.1808728
7,3.5e-07,0.2099283
8,4e-07,0.242609
9,4.5e-07,0.2712306
10,5e-07,0.3032299
11,5.5e-07,0.3315383
12,6e-07,0.3586402
13,6.499999999999999e-07,0.3868589
14,7e-07,0.4195842
15,7.5e-07,0.441036
16,8e-07,0.4697994
17,8.499999999999999e-07,0.5032924
18,9e-07,0.5241628
19,9.5e-07,0.5580764
20,1e-06,0.5771738
21,1e-06,0.5846507
22,9.5e-07,0.5497561
23,9e-07,0.5226231
24,8.499999999999999e-07,0.4946352
25,8e-07,0.4673336
26,7.5e-07,0.4394007
27,7e-07,0.4113055
28,6.499999999999999e-07,0.3818527
29,6e-07,0.3528279
30,5.5e-07,0.3236567
31,5e-07,0.2967792
32,4.4999999999999993e-07,0.2650054
33,4e-07,0.2339382
34,3.5000000000000004e-07,0.204074
35,3e-07,0.1724323
36,2.4999999999999994e-07,0.1453793
37,2e-07,0.1173796
38,1.5000000000000005e-07,0.08987163
39,1e-07,0.0610823
40,4.9999999999999945e-08,0.03126038
41,0.0,0.0004205502
42,-4.9999999999999945e-08,-0.007096525
43,-1.000000000000001e-07,-0.01418087
44,-1.5000000000000005e-07,-0.02138587
45,-2e-07,-0.02855092
46,-2.4999999999999994e-07,-0.03574273
47,-2.999999999999999e-07,-0.04287827
48,-3.5000000000000004e-07,-0.0500099
49,-4e-07,-0.05715716
50,-4.4999999999999993e-07,-0.06428259
51,-5.000000000000001e-07,-0.0713336
52,-5.5e-07,-0.07842562
53,-6e-07,-0.08537852
54,-6.499999999999999e-07,-0.09248427
55,-6.999999999999999e-07,-0.09944157
56,-7.5e-07,-0.1063377
57,-8e-07,-0.1132354
58,-8.499999999999999e-07,-0.12006
59,-9.000000000000001e-07,-0.1267243
60,-9.5e-07,-0.133586
61,-1e-06,-0.1402726
62,-1e-06,-0.1403126
63,-9.5e-07,-0.133405
64,-9e-07,-0.1267556
65,-8.499999999999999e-07,-0.119906
66,-8e-07,-0.1131082
67,-7.5e-07,-0.1062065
68,-7e-07,-0.09928545
69,-6.499999999999999e-07,-0.09232587
70,-6e-07,-0.0854075
71,-5.5e-07,-0.07824245
72,-5e-07,-0.07126843
73,-4.4999999999999993e-07,-0.06417286
74,-4e-07,-0.05709393
75,-3.5000000000000004e-07,-0.04995217
76,-3e-07,-0.04284188
77,-2.4999999999999994e-07,-0.03568112
78,-2e-07,-0.02850708
79,-1.5000000000000005e-07,-0.02135266
80,-1e-07,-0.01416738
81,-4.9999999999999945e-08,-0.007001319
82,0.0,0.0001396208
