,I,V
0,0.0,7.802108e-05
1,5e-08,0.00694001
2,1e-07,0.01402171
3,1.5e-07,0.02133991
4,2e-07,0.0287868
5,2.5e-07,0.03650318
6,3e-07,0.04430169
7,3.5e-07,0.05229345
8,4e-07,0.06048075
9,4.5e-07,0.06879128
10,5e-07,0.07766858
11,5.5e-07,0.08719321
12,6e-07,0.0947795
13,6.499999999999999e-07,0.103429
14,7e-07,0.1125133
15,7.5e-07,0.1214846
16,8e-07,0.1306905
17,8.499999999999999e-07,0.1398739
18,9e-07,0.1492897
19,9.5e-07,0.1587906
20,1e-06,0.1682786
21,1e-06,0.1683729
22,9.5e-07,0.1583586
23,9e-07,0.1478992
24,8.499999999999999e-07,0.139616
25,8e-07,0.1305737
26,7.5e-07,0.1212146
27,7e-07,0.1121841
28,6.499999999999999e-07,0.1034767
29,6e-07,0.09419294
30,5.5e-07,0.08664083
31,5e-07,0.07712603
32,4.4999999999999993e-07,0.06898534
33,4e-07,0.05997049
34,3.5000000000000004e-07,0.05226904
35,3e-07,0.04384903
36,2.4999999999999994e-07,0.03661699
37,2e-07,0.02883073
38,1.5000000000000005e-07,0.02126666
39,1e-07,0.01393029
40,4.9999999999999945e-08,0.006826719
41,0.0,3.24593e-05
42,-4.9999999999999945e-08,-0.006546396
43,-1.000000000000001e-07,-0.01297438
44,-1.5000000000000005e-07,-0.01929804
45,-2e-07,-0.025422
46,-2.4999999999999994e-07,-0.03105092
47,-2.999999999999999e-07,-0.036924
48,-3.5000000000000004e-07,-0.04231751
49,-4e-07,-0.04810315
50,-4.4999999999999993e-07,-0.05342435
51,-5.000000000000001e-07,-0.05912017
52,-5.5e-07,-0.064409
53,-6e-07,-0.06965943
54,-6.499999999999999e-07,-0.07522917
55,-6.999999999999999e-07,-0.08121695
56,-7.5e-07,-0.08642445
57,-8e-07,-0.09115212
58,-8.499999999999999e-07,-0.09649334
59,-9.000000000000001e-07,-0.1020272
60,-9.5e-07,-0.1071488
61,-1e-06,-0.1123098
62,-1e-06,-0.1122039
63,-9.5e-07,-0.1071481
64,-9e-07,-0.1023146
65,-8.499999999999999e-07,-0.09728925
66,-8e-07,-0.09212764
67,-7.5e-07,-0.08666954
68,-7e-07,-0.08123122
69,-6.499999999999999e-07,-0.07591514
70,-6e-07,-0.07046795
71,-5.5e-07,-0.06472556
72,-5e-07,-0.05922681
73,-4.4999999999999993e-07,-0.05368065
74,-4e-07,-0.04803396
75,-3.5000000000000004e-07,-0.04243754
76,-3e-07,-0.03689475
77,-2.4999999999999994e-07,-0.03102078
78,-2e-07,-0.02559005
79,-1.5000000000000005e-07,-0.018898
80,-1e-07,-0.01296885
81,-4.9999999999999945e-08,-0.006567956
82,0.0,9.967829e-05
