,I,V
0,0.0,0.0003980764
1,2e-08,0.008629151
2,4e-08,0.01912142
3,6.000000000000001e-08,0.02978737
4,8e-08,0.04039088
5,1e-07,0.05107491
6,1.2000000000000002e-07,0.06182001
7,1.4e-07,0.07270276
8,1.6e-07,0.08352692
9,1.8e-07,0.09442162
10,2e-07,0.1054174
11,2.2e-07,0.1164121
12,2.4000000000000003e-07,0.1273426
13,2.6e-07,0.1382854
14,2.8e-07,0.1494548
15,3e-07,0.1603688
16,3.2e-07,0.1713573
17,3.4000000000000003e-07,0.1820938
18,3.6e-07,0.1931451
19,3.8e-07,0.2039885
20,4e-07,0.2151684
21,4.2e-07,0.2263404
22,4.4e-07,0.2371735
23,4.6e-07,0.2482523
24,4.800000000000001e-07,0.2588206
25,5e-07,0.2698489
26,5.2e-07,0.2814181
27,5.4e-07,0.2919453
28,5.6e-07,0.3024597
29,5.800000000000001e-07,0.3134392
30,6e-07,0.3244582
31,6.2e-07,0.3350196
32,6.4e-07,0.346388
33,6.6e-07,0.3574468
34,6.800000000000001e-07,0.367956
35,7e-07,0.3786302
36,7.2e-07,0.3892308
37,7.4e-07,0.400056
38,7.6e-07,0.4115012
39,7.8e-07,0.4217379
40,8e-07,0.4331625
41,8.2e-07,0.4434473
42,8.4e-07,0.4544688
43,8.6e-07,0.4653214
44,8.8e-07,0.4764648
45,9.000000000000001e-07,0.4868776
46,9.2e-07,0.4979274
47,9.4e-07,0.5086758
48,9.600000000000001e-07,0.5196956
49,9.8e-07,0.5306179
50,1e-06,0.541111
51,1e-06,0.5411609
52,9.8e-07,0.5305336
53,9.6e-07,0.5195177
54,9.399999999999999e-07,0.5084425
55,9.2e-07,0.4977105
56,9e-07,0.4871645
57,8.799999999999999e-07,0.4760887
58,8.599999999999999e-07,0.4655674
59,8.4e-07,0.4546077
60,8.2e-07,0.4430099
61,8e-07,0.43241
62,7.799999999999999e-07,0.4220513
63,7.599999999999999e-07,0.4110985
64,7.399999999999999e-07,0.4000068
65,7.199999999999999e-07,0.3893009
66,7e-07,0.3788025
67,6.8e-07,0.3675924
68,6.599999999999999e-07,0.3566161
69,6.4e-07,0.3461641
70,6.2e-07,0.3352596
71,6e-07,0.3244134
72,5.8e-07,0.3135452
73,5.599999999999999e-07,0.3021419
74,5.399999999999999e-07,0.2917355
75,5.199999999999999e-07,0.2808492
