,I,V
0,0.0,3.501444e-05
1,5e-08,0.007156756
2,1e-07,0.01417195
3,1.5e-07,0.02115423
4,2e-07,0.02797213
5,2.5e-07,0.03457937
6,3e-07,0.04107305
7,3.5e-07,0.04791182
8,4e-07,0.05424125
9,4.5e-07,0.06094383
10,5e-07,0.06807759
11,5.5e-07,0.07544713
12,6e-07,0.08258135
13,6.499999999999999e-07,0.08978667
14,7e-07,0.09702665
15,7.5e-07,0.1047022
16,8e-07,0.1121673
17,8.499999999999999e-07,0.1202198
18,9e-07,0.1285021
19,9.5e-07,0.1366406
20,1e-06,0.1450038
21,1e-06,0.1446929
22,9.5e-07,0.1363439
23,9e-07,0.1283762
24,8.499999999999999e-07,0.1208117
25,8e-07,0.1129728
26,7.5e-07,0.1055431
27,7e-07,0.09824215
28,6.499999999999999e-07,0.09079672
29,6e-07,0.08368607
30,5.5e-07,0.07670236
31,5e-07,0.06970592
32,4.4999999999999993e-07,0.06251545
33,4e-07,0.05569865
34,3.5000000000000004e-07,0.04873494
35,3e-07,0.0419361
36,2.4999999999999994e-07,0.03503025
37,2e-07,0.02825002
38,1.5000000000000005e-07,0.02128754
39,1e-07,0.01429983
40,4.9999999999999945e-08,0.007246139
41,0.0,3.194975e-05
42,-4.9999999999999945e-08,-0.007284659
43,-1.000000000000001e-07,-0.0147923
44,-1.5000000000000005e-07,-0.02236705
45,-2e-07,-0.03014408
46,-2.4999999999999994e-07,-0.03810109
47,-2.999999999999999e-07,-0.04636747
48,-3.5000000000000004e-07,-0.05468121
49,-4e-07,-0.06297208
50,-4.4999999999999993e-07,-0.07161427
51,-5.000000000000001e-07,-0.08034572
52,-5.5e-07,-0.08941266
53,-6e-07,-0.0987886
54,-6.499999999999999e-07,-0.108259
55,-6.999999999999999e-07,-0.11827
56,-7.5e-07,-0.1285527
57,-8e-07,-0.1389227
58,-8.499999999999999e-07,-0.1491092
59,-9.000000000000001e-07,-0.1597622
60,-9.5e-07,-0.1706689
61,-1e-06,-0.1819329
62,-1e-06,-0.181963
63,-9.5e-07,-0.1708162
64,-9e-07,-0.1598927
65,-8.499999999999999e-07,-0.1498194
66,-8e-07,-0.1384924
67,-7.5e-07,-0.1283032
68,-7e-07,-0.1182067
69,-6.499999999999999e-07,-0.1085352
70,-6e-07,-0.09886837
71,-5.5e-07,-0.08963607
72,-5e-07,-0.08060294
73,-4.4999999999999993e-07,-0.07172053
74,-4e-07,-0.06304949
75,-3.5000000000000004e-07,-0.054538
76,-3e-07,-0.04636123
77,-2.4999999999999994e-07,-0.038167
78,-2e-07,-0.03025441
79,-1.5000000000000005e-07,-0.02243775
80,-1e-07,-0.01476932
81,-4.9999999999999945e-08,-0.00729722
82,0.0,2.418604e-05
