,I,V
0,0.0,4.359565e-05
1,5e-08,0.008997431
2,1e-07,0.01786973
3,1.5e-07,0.02668625
4,2e-07,0.03544733
5,2.5e-07,0.0440711
6,3e-07,0.05279131
7,3.5e-07,0.06178208
8,4e-07,0.07092395
9,4.5e-07,0.08007792
10,5e-07,0.08932681
11,5.5e-07,0.09875754
12,6e-07,0.1084138
13,6.499999999999999e-07,0.1185336
14,7e-07,0.1283108
15,7.5e-07,0.1383924
16,8e-07,0.1489052
17,8.499999999999999e-07,0.1595632
18,9e-07,0.1710711
19,9.5e-07,0.1828451
20,1e-06,0.1939956
21,1e-06,0.1935571
22,9.5e-07,0.1817947
23,9e-07,0.1705887
24,8.499999999999999e-07,0.1595221
25,8e-07,0.1486927
26,7.5e-07,0.1381318
27,7e-07,0.1280302
28,6.499999999999999e-07,0.1182061
29,6e-07,0.108363
30,5.5e-07,0.0988105
31,5e-07,0.08941843
32,4.4999999999999993e-07,0.08018552
33,4e-07,0.0712009
34,3.5000000000000004e-07,0.06239631
35,3e-07,0.05336559
36,2.4999999999999994e-07,0.04452096
37,2e-07,0.03580362
38,1.5000000000000005e-07,0.02697923
39,1e-07,0.01801888
40,4.9999999999999945e-08,0.009068321
41,0.0,5.994068e-05
42,-4.9999999999999945e-08,-0.009040606
43,-1.000000000000001e-07,-0.01824495
44,-1.5000000000000005e-07,-0.0277009
45,-2e-07,-0.03716045
46,-2.4999999999999994e-07,-0.04669045
47,-2.999999999999999e-07,-0.0564654
48,-3.5000000000000004e-07,-0.06643094
49,-4e-07,-0.07647304
50,-4.4999999999999993e-07,-0.08672664
51,-5.000000000000001e-07,-0.09720007
52,-5.5e-07,-0.1079606
53,-6e-07,-0.1188817
54,-6.499999999999999e-07,-0.129978
55,-6.999999999999999e-07,-0.1412942
56,-7.5e-07,-0.1527953
57,-8e-07,-0.1645649
58,-8.499999999999999e-07,-0.1766018
59,-9.000000000000001e-07,-0.1889061
60,-9.5e-07,-0.2014942
61,-1e-06,-0.2139504
62,-1e-06,-0.2141179
63,-9.5e-07,-0.2013249
64,-9e-07,-0.1890838
65,-8.499999999999999e-07,-0.1767095
66,-8e-07,-0.1646434
67,-7.5e-07,-0.1529041
68,-7e-07,-0.1413738
69,-6.499999999999999e-07,-0.1300833
70,-6e-07,-0.1190545
71,-5.5e-07,-0.1081367
72,-5e-07,-0.09751278
73,-4.4999999999999993e-07,-0.08702285
74,-4e-07,-0.07670168
75,-3.5000000000000004e-07,-0.06661459
76,-3e-07,-0.05663634
77,-2.4999999999999994e-07,-0.04687549
78,-2e-07,-0.03723073
79,-1.5000000000000005e-07,-0.02773064
80,-1e-07,-0.0183652
81,-4.9999999999999945e-08,-0.009084847
82,0.0,6.208583e-05
