,I,V
0,0.0,-0.03553313
1,1e-08,1.201212
2,2e-08,0.7780738
3,3.0000000000000004e-08,0.7141016
4,4e-08,0.6110647
5,5e-08,0.6544872
6,6.000000000000001e-08,0.525165
7,7e-08,0.6467012
8,8e-08,0.523536
9,9e-08,0.6819513
10,1e-07,0.4604856
11,1e-07,0.6456454
12,9e-08,0.4575965
13,8e-08,0.6619421
14,6.999999999999999e-08,0.4295245
15,6e-08,0.6304003
16,5e-08,0.459742
17,3.999999999999999e-08,0.5390003
18,2.999999999999999e-08,0.4932879
19,1.9999999999999994e-08,0.5103902
20,9.999999999999997e-09,0.532886
21,0.0,0.3279621
22,-1.000000000000001e-08,-0.8589764
23,-2.000000000000002e-08,-0.1361715
24,-3.0000000000000004e-08,-0.0806362
25,-4.0000000000000014e-08,-0.03400261
26,-5e-08,0.0385449
27,-6.000000000000001e-08,0.01973659
28,-7.000000000000002e-08,0.005435282
29,-8e-08,-0.04677726
30,-9.000000000000001e-08,-0.01710512
31,-1e-07,-0.06836068
32,-1e-07,-0.0251752
33,-9e-08,-0.03308582
34,-8e-08,-0.04657067
35,-6.999999999999999e-08,0.03042598
36,-6e-08,0.0276103
37,-5e-08,0.01183028
38,-3.999999999999999e-08,-0.01464895
39,-2.999999999999999e-08,0.00266159
40,-1.9999999999999994e-08,-0.03135671
41,-9.999999999999997e-09,-0.009312719
42,0.0,0.03084443
