,I,V
0,0.0,-0.001442088
1,1e-08,0.003874156
2,2e-08,0.006745797
3,3.0000000000000004e-08,0.008980197
4,4e-08,0.01421332
5,5e-08,0.01631146
6,6.000000000000001e-08,0.02054153
7,7e-08,0.0194009
8,8e-08,0.02209079
9,9e-08,0.03899281
10,1e-07,0.04290713
11,1e-07,0.04003498
12,9e-08,0.03066893
13,8e-08,0.02526572
14,6.999999999999999e-08,0.01811335
15,6e-08,-0.01277769
16,5e-08,0.006732004
17,3.999999999999999e-08,0.007538814
18,2.999999999999999e-08,0.001090984
19,1.9999999999999994e-08,-0.01174661
20,9.999999999999997e-09,-0.00187595
21,0.0,0.01304019
22,-1.000000000000001e-08,0.0236758
23,-2.000000000000002e-08,0.02690457
24,-3.0000000000000004e-08,0.02675542
25,-4.0000000000000014e-08,0.005679516
26,-5e-08,-0.04508571
27,-6.000000000000001e-08,-0.02177122
28,-7.000000000000002e-08,-0.05795172
29,-8e-08,-0.0778274
30,-9.000000000000001e-08,-0.06484192
31,-1e-07,-0.05880321
32,-1e-07,-0.05146976
33,-9e-08,-0.04206982
34,-8e-08,-0.03566845
35,-6.999999999999999e-08,-0.02971376
36,-6e-08,-0.02531721
37,-5e-08,-0.02138885
38,-3.999999999999999e-08,-0.01726086
39,-2.999999999999999e-08,-0.01334906
40,-1.9999999999999994e-08,-0.009604057
41,-9.999999999999997e-09,-0.005887062
42,0.0,-0.002147281
