,I,V
0,0.0,0.0006692035
1,2e-08,-0.1498304
2,4e-08,-0.347168
3,6.000000000000001e-08,-0.4111312
4,8e-08,-0.4382171
5,1e-07,-0.4588402
6,1.2000000000000002e-07,-0.4752949
7,1.4e-07,-0.4903427
8,1.6e-07,-0.5059621
9,1.8e-07,-0.5206841
10,2e-07,-0.5339753
11,2.2e-07,-0.5490143
12,2.4000000000000003e-07,-0.5636624
13,2.6e-07,-0.5780331
14,2.8e-07,-0.5928336
15,3e-07,-0.6078705
16,3.2e-07,-0.622974
17,3.4000000000000003e-07,-0.6391721
18,3.6e-07,-0.6559773
19,3.8e-07,-0.6729789
20,4e-07,-0.6900105
21,4.2e-07,-0.7101382
22,4.4e-07,-0.7274516
23,4.6e-07,-0.7500035
24,4.800000000000001e-07,-0.7669692
25,5e-07,-0.7910218
26,5.2e-07,-0.8156537
27,5.4e-07,-0.833729
28,5.6e-07,-0.8587486
29,5.800000000000001e-07,-0.8822595
30,6e-07,-0.9078112
31,6.2e-07,-0.9359319
32,6.4e-07,-0.957948
33,6.6e-07,-0.9919751
34,6.800000000000001e-07,-1.015068
35,7e-07,-1.0487
36,7.2e-07,-1.076419
37,7.4e-07,-1.102152
38,7.6e-07,-1.133446
39,7.8e-07,-1.171683
40,8e-07,-1.198959
41,8.2e-07,-1.226066
42,8.4e-07,-1.26604
43,8.6e-07,-1.293222
44,8.8e-07,-1.327471
45,9.000000000000001e-07,-1.352827
46,9.2e-07,-1.380143
47,9.4e-07,-1.404942
48,9.600000000000001e-07,-1.430071
49,9.8e-07,-1.459746
50,1e-06,-1.482916
51,1e-06,-1.50405
52,9.8e-07,-1.461229
53,9.6e-07,-1.437512
54,9.399999999999999e-07,-1.408143
55,9.2e-07,-1.381033
56,9e-07,-1.341121
57,8.799999999999999e-07,-1.322147
58,8.599999999999999e-07,-1.295384
59,8.4e-07,-1.25982
60,8.2e-07,-1.232972
61,8e-07,-1.199948
62,7.799999999999999e-07,-1.169323
63,7.599999999999999e-07,-1.13691
64,7.399999999999999e-07,-1.113536
65,7.199999999999999e-07,-1.087054
66,7e-07,-1.054017
67,6.8e-07,-1.025553
68,6.599999999999999e-07,-1.00284
69,6.4e-07,-0.9760686
70,6.2e-07,-0.9462143
71,6e-07,-0.9213732
72,5.8e-07,-0.8968061
73,5.599999999999999e-07,-0.8750013
74,5.399999999999999e-07,-0.8511232
75,5.199999999999999e-07,-0.8292724
76,5e-07,-0.8052165
77,4.8e-07,-0.7854627
78,4.5999999999999994e-07,-0.7619231
79,4.399999999999999e-07,-0.7399518
80,4.199999999999999e-07,-0.7218572
81,4e-07,-0.7038175
82,3.7999999999999996e-07,-0.6839272
83,3.5999999999999994e-07,-0.6685418
84,3.399999999999999e-07,-0.650665
85,3.199999999999999e-07,-0.633099
86,3e-07,-0.6164321
87,2.7999999999999997e-07,-0.6001894
88,2.5999999999999995e-07,-0.5836874
89,2.399999999999999e-07,-0.5684021
90,2.199999999999999e-07,-0.5539969
91,2e-07,-0.5392595
92,1.7999999999999997e-07,-0.5249754
93,1.5999999999999995e-07,-0.5097152
94,1.3999999999999993e-07,-0.4942282
95,1.199999999999999e-07,-0.4787164
96,9.999999999999989e-08,-0.4613548
97,7.999999999999998e-08,-0.4400522
98,5.999999999999995e-08,-0.4141885
99,3.999999999999983e-08,-0.3576498
100,2.000000000000002e-08,-0.165801
101,0.0,0.0009269473
102,-2.000000000000002e-08,0.04806348
103,-4.000000000000004e-08,0.05526428
104,-6.000000000000006e-08,0.05734134
105,-8.000000000000008e-08,0.05768111
106,-1.000000000000001e-07,0.05804255
107,-1.2000000000000012e-07,0.05830275
108,-1.4000000000000014e-07,0.05837704
109,-1.6000000000000016e-07,0.05862014
110,-1.7999999999999997e-07,0.05862876
111,-2e-07,0.05844661
112,-2.2e-07,0.05856703
113,-2.4000000000000003e-07,0.05855608
114,-2.6000000000000005e-07,0.05933933
115,-2.8000000000000007e-07,0.05922106
116,-3.000000000000001e-07,0.06399877
117,-3.200000000000001e-07,0.068358
118,-3.4000000000000013e-07,0.07056523
119,-3.6000000000000015e-07,0.07327563
120,-3.8000000000000017e-07,0.07611438
121,-4e-07,0.07807129
122,-4.2e-07,0.07871379
123,-4.4e-07,0.08319306
124,-4.6000000000000004e-07,0.08353439
125,-4.800000000000001e-07,0.08608043
126,-5.000000000000001e-07,0.08935326
127,-5.200000000000001e-07,0.09234242
128,-5.400000000000001e-07,0.09718217
129,-5.600000000000001e-07,0.1005773
130,-5.800000000000002e-07,0.1012636
131,-6e-07,0.1016299
132,-6.2e-07,0.1035907
133,-6.4e-07,0.1085115
134,-6.6e-07,0.1100207
135,-6.800000000000001e-07,0.1148877
136,-7.000000000000001e-07,0.1129561
137,-7.200000000000001e-07,0.1150645
138,-7.400000000000001e-07,0.1181345
139,-7.600000000000001e-07,0.1198265
140,-7.800000000000002e-07,0.12499
141,-8.000000000000002e-07,0.1221478
142,-8.2e-07,0.130841
143,-8.4e-07,0.1348314
144,-8.6e-07,0.1423301
145,-8.8e-07,0.1486523
146,-9.000000000000001e-07,0.1892752
147,-9.200000000000003e-07,0.155379
148,-9.400000000000001e-07,0.2015676
149,-9.6e-07,0.1889596
150,-9.800000000000001e-07,0.1720436
151,-1e-06,0.1975612
152,-1e-06,0.1834474
153,-9.8e-07,0.1765424
154,-9.6e-07,0.1701331
155,-9.399999999999999e-07,0.1978771
156,-9.2e-07,0.1962131
157,-9e-07,0.1929765
158,-8.799999999999999e-07,0.2077306
159,-8.599999999999999e-07,0.1952221
160,-8.4e-07,0.1667616
161,-8.2e-07,0.1612666
162,-8e-07,0.1596974
163,-7.799999999999999e-07,0.1554231
164,-7.599999999999999e-07,0.155724
165,-7.399999999999999e-07,0.1588679
166,-7.199999999999999e-07,0.159238
167,-7e-07,0.1587644
168,-6.8e-07,0.1610353
169,-6.599999999999999e-07,0.1589048
170,-6.4e-07,0.1595006
171,-6.2e-07,0.1598321
172,-6e-07,0.1617391
173,-5.8e-07,0.1620084
174,-5.599999999999999e-07,0.1619127
175,-5.399999999999999e-07,0.163975
176,-5.199999999999999e-07,0.1672309
177,-5e-07,0.1630198
178,-4.8e-07,0.1607191
179,-4.5999999999999994e-07,0.1660548
180,-4.399999999999999e-07,0.1640376
181,-4.199999999999999e-07,0.1650414
182,-4e-07,0.1650627
183,-3.7999999999999996e-07,0.1689386
184,-3.5999999999999994e-07,0.1660252
185,-3.399999999999999e-07,0.1654236
186,-3.199999999999999e-07,0.1578714
187,-3e-07,0.1589204
