,I,V
0,0.0,-0.00130237
1,2e-08,-0.05644817
2,4e-08,-0.08386838
3,6.000000000000001e-08,-0.09130903
4,8e-08,-0.09818876
5,1e-07,-0.1031069
6,1.2000000000000002e-07,-0.1078691
7,1.4e-07,-0.1124846
8,1.6e-07,-0.1762222
9,1.8e-07,-0.2137436
10,2e-07,-0.2326978
11,2.2e-07,-0.2726115
12,2.4000000000000003e-07,-0.3078339
13,2.6e-07,-0.3401196
14,2.8e-07,-0.3725598
15,3e-07,-0.4103148
16,3.2e-07,-0.4335254
17,3.4000000000000003e-07,-0.4595889
18,3.6e-07,-0.482728
19,3.8e-07,-0.5048397
20,4e-07,-0.5249753
21,4.2e-07,-0.5406131
22,4.4e-07,-0.5607665
23,4.6e-07,-0.5746154
24,4.800000000000001e-07,-0.5903266
25,5e-07,-0.6055962
26,5.2e-07,-0.6198802
27,5.4e-07,-0.6300046
28,5.6e-07,-0.6426557
29,5.800000000000001e-07,-0.6512475
30,6e-07,-0.6584736
31,6.2e-07,-0.6731054
32,6.4e-07,-0.6828717
33,6.6e-07,-0.6915696
34,6.800000000000001e-07,-0.698666
35,7e-07,-0.7068304
36,7.2e-07,-0.7177
37,7.4e-07,-0.726064
38,7.6e-07,-0.7357048
39,7.8e-07,-0.736719
40,8e-07,-0.7430925
41,8.2e-07,-0.756455
42,8.4e-07,-0.7671521
43,8.6e-07,-0.7770402
44,8.8e-07,-0.7774243
45,9.000000000000001e-07,-0.7913295
46,9.2e-07,-0.7995873
47,9.4e-07,-0.8053967
48,9.600000000000001e-07,-0.8112334
49,9.8e-07,-0.8272868
50,1e-06,-0.8354583
51,1e-06,-0.8358315
52,9.8e-07,-0.8304719
53,9.6e-07,-0.8253667
54,9.399999999999999e-07,-0.8185051
55,9.2e-07,-0.8086945
56,9e-07,-0.8006562
57,8.799999999999999e-07,-0.7981189
58,8.599999999999999e-07,-0.7881544
59,8.4e-07,-0.7821394
60,8.2e-07,-0.7660739
61,8e-07,-0.7554483
62,7.799999999999999e-07,-0.750439
63,7.599999999999999e-07,-0.7456812
64,7.399999999999999e-07,-0.7295853
65,7.199999999999999e-07,-0.7195642
66,7e-07,-0.7125356
67,6.8e-07,-0.7031267
68,6.599999999999999e-07,-0.7003964
69,6.4e-07,-0.6911395
70,6.2e-07,-0.6814812
71,6e-07,-0.672548
72,5.8e-07,-0.6641165
73,5.599999999999999e-07,-0.6554889
74,5.399999999999999e-07,-0.6453267
75,5.199999999999999e-07,-0.6294438
76,5e-07,-0.6212986
77,4.8e-07,-0.6043292
78,4.5999999999999994e-07,-0.5933553
79,4.399999999999999e-07,-0.5778087
80,4.199999999999999e-07,-0.5600598
81,4e-07,-0.5443165
82,3.7999999999999996e-07,-0.5251631
83,3.5999999999999994e-07,-0.5133024
84,3.399999999999999e-07,-0.4999655
85,3.199999999999999e-07,-0.4734311
86,3e-07,-0.4433243
87,2.7999999999999997e-07,-0.4139155
88,2.5999999999999995e-07,-0.3795207
89,2.399999999999999e-07,-0.3441704
90,2.199999999999999e-07,-0.3060064
91,2e-07,-0.2541288
92,1.7999999999999997e-07,-0.2227361
93,1.5999999999999995e-07,-0.1502882
94,1.3999999999999993e-07,-0.1131839
95,1.199999999999999e-07,-0.08505719
96,9.999999999999989e-08,-0.08318207
97,7.999999999999998e-08,-0.08003908
98,5.999999999999995e-08,-0.07615871
99,3.999999999999983e-08,-0.06814461
100,2.000000000000002e-08,-0.04129722
101,0.0,-0.001495041
102,-2.000000000000002e-08,0.06012973
103,-4.000000000000004e-08,0.294972
104,-6.000000000000006e-08,0.4742726
105,-8.000000000000008e-08,0.5695411
106,-1.000000000000001e-07,0.6127079
107,-1.2000000000000012e-07,0.6411412
108,-1.4000000000000014e-07,0.66423
109,-1.6000000000000016e-07,0.6875057
110,-1.7999999999999997e-07,0.7085511
111,-2e-07,0.7299802
112,-2.2e-07,0.7516089
113,-2.4000000000000003e-07,0.7735835
114,-2.6000000000000005e-07,0.7971203
115,-2.8000000000000007e-07,0.8181477
116,-3.000000000000001e-07,0.8400553
117,-3.200000000000001e-07,0.8637444
118,-3.4000000000000013e-07,0.8870581
119,-3.6000000000000015e-07,0.9122561
120,-3.8000000000000017e-07,0.9403139
121,-4e-07,0.9646477
122,-4.2e-07,0.9857064
123,-4.4e-07,1.010094
124,-4.6000000000000004e-07,1.037892
125,-4.800000000000001e-07,1.068279
126,-5.000000000000001e-07,1.096542
127,-5.200000000000001e-07,1.126474
128,-5.400000000000001e-07,1.146155
129,-5.600000000000001e-07,1.172572
130,-5.800000000000002e-07,1.203104
131,-6e-07,1.233692
132,-6.2e-07,1.254434
133,-6.4e-07,1.280388
134,-6.6e-07,1.303466
135,-6.800000000000001e-07,1.332214
136,-7.000000000000001e-07,1.353415
137,-7.200000000000001e-07,1.383181
138,-7.400000000000001e-07,1.403836
139,-7.600000000000001e-07,1.435089
140,-7.800000000000002e-07,1.450117
141,-8.000000000000002e-07,1.483181
142,-8.2e-07,1.500604
143,-8.4e-07,1.525818
144,-8.6e-07,1.55309
145,-8.8e-07,1.583594
146,-9.000000000000001e-07,1.59222
147,-9.200000000000003e-07,1.616377
148,-9.400000000000001e-07,1.633172
149,-9.6e-07,1.66367
150,-9.800000000000001e-07,1.689651
151,-1e-06,1.706707
152,-1e-06,1.696328
153,-9.8e-07,1.674782
154,-9.6e-07,1.666266
155,-9.399999999999999e-07,1.654066
156,-9.2e-07,1.625083
157,-9e-07,1.611856
158,-8.799999999999999e-07,1.595296
159,-8.599999999999999e-07,1.569612
160,-8.4e-07,1.547949
161,-8.2e-07,1.526127
162,-8e-07,1.501409
163,-7.799999999999999e-07,1.481252
164,-7.599999999999999e-07,1.45925
165,-7.399999999999999e-07,1.435236
166,-7.199999999999999e-07,1.410071
167,-7e-07,1.388535
168,-6.8e-07,1.360106
169,-6.599999999999999e-07,1.336694
170,-6.4e-07,1.307049
171,-6.2e-07,1.290579
172,-6e-07,1.255631
173,-5.8e-07,1.230672
174,-5.599999999999999e-07,1.209926
175,-5.399999999999999e-07,1.172933
176,-5.199999999999999e-07,1.141378
177,-5e-07,1.1157
178,-4.8e-07,1.087794
179,-4.5999999999999994e-07,1.060526
180,-4.399999999999999e-07,1.033667
181,-4.199999999999999e-07,1.007095
182,-4e-07,0.9813685
183,-3.7999999999999996e-07,0.9509378
184,-3.5999999999999994e-07,0.9247767
185,-3.399999999999999e-07,0.8992019
186,-3.199999999999999e-07,0.8758405
187,-3e-07,0.850032
188,-2.7999999999999997e-07,0.8281767
189,-2.5999999999999995e-07,0.8033453
190,-2.399999999999999e-07,0.7802359
191,-2.199999999999999e-07,0.7560421
192,-2e-07,0.7327805
193,-1.7999999999999997e-07,0.7084304
194,-1.5999999999999995e-07,0.6845511
195,-1.3999999999999993e-07,0.6597699
196,-1.199999999999999e-07,0.6324108
197,-9.999999999999989e-08,0.6020045
198,-7.999999999999998e-08,0.565157
199,-5.999999999999995e-08,0.5050197
200,-3.999999999999983e-08,0.3531582
201,-2.000000000000002e-08,0.0940383
202,0.0,-0.00214886
