,I,V
0,0.0,0.2056052
1,2e-08,0.2379553
2,4e-08,0.409459
3,6.000000000000001e-08,0.549863
4,8e-08,0.6298596
5,1e-07,0.6816719
6,1.2000000000000002e-07,0.7351741
7,1.4e-07,0.7857576
8,1.6e-07,0.832485
9,1.8e-07,0.9023139
10,2e-07,0.9562852
11,2.2e-07,0.9947528
12,2.4000000000000003e-07,1.053091
13,2.6e-07,1.118542
14,2.8e-07,1.194015
15,3e-07,1.266328
16,3.2e-07,1.265283
17,3.4000000000000003e-07,1.32909
18,3.6e-07,1.386873
19,3.8e-07,1.43803
20,4e-07,1.480514
21,4.2e-07,1.544092
22,4.4e-07,1.596103
23,4.6e-07,1.645008
24,4.800000000000001e-07,1.714293
25,5e-07,1.76881
26,5.2e-07,1.829732
27,5.4e-07,1.889643
28,5.6e-07,1.941233
29,5.800000000000001e-07,1.991139
30,6e-07,2.039593
31,6.2e-07,2.090322
32,6.4e-07,2.140792
33,6.6e-07,2.188182
34,6.800000000000001e-07,2.243533
35,7e-07,2.279475
36,7.2e-07,2.325372
37,7.4e-07,2.382253
38,7.6e-07,2.433853
39,7.8e-07,2.479444
40,8e-07,2.522083
41,8.2e-07,2.574552
42,8.4e-07,2.609385
43,8.6e-07,2.647699
44,8.8e-07,2.6986
45,9.000000000000001e-07,2.738202
46,9.2e-07,2.77787
47,9.4e-07,2.826094
48,9.600000000000001e-07,2.859645
49,9.8e-07,2.89494
50,1e-06,2.923326
51,1e-06,2.94685
52,9.8e-07,2.91167
53,9.6e-07,2.907161
54,9.399999999999999e-07,2.890844
55,9.2e-07,2.85359
56,9e-07,2.816951
57,8.799999999999999e-07,2.772897
58,8.599999999999999e-07,2.726656
59,8.4e-07,2.687058
60,8.2e-07,2.641133
61,8e-07,2.592424
62,7.799999999999999e-07,2.540251
63,7.599999999999999e-07,2.502475
64,7.399999999999999e-07,2.452608
65,7.199999999999999e-07,2.397285
66,7e-07,2.351709
67,6.8e-07,2.307446
68,6.599999999999999e-07,2.235896
69,6.4e-07,2.188312
70,6.2e-07,2.158535
71,6e-07,2.103988
72,5.8e-07,2.048955
73,5.599999999999999e-07,1.98193
74,5.399999999999999e-07,1.926836
75,5.199999999999999e-07,1.873718
76,5e-07,1.810175
77,4.8e-07,1.757331
78,4.5999999999999994e-07,1.706015
79,4.399999999999999e-07,1.651831
80,4.199999999999999e-07,1.610687
81,4e-07,1.565341
82,3.7999999999999996e-07,1.506774
83,3.5999999999999994e-07,1.463931
84,3.399999999999999e-07,1.412723
85,3.199999999999999e-07,1.363508
86,3e-07,1.312754
87,2.7999999999999997e-07,1.257723
88,2.5999999999999995e-07,1.205456
89,2.399999999999999e-07,1.151899
90,2.199999999999999e-07,1.087927
91,2e-07,1.045556
92,1.7999999999999997e-07,0.9922518
93,1.5999999999999995e-07,0.9527975
94,1.3999999999999993e-07,0.8992943
95,1.199999999999999e-07,0.8474754
96,9.999999999999989e-08,0.8059964
97,7.999999999999998e-08,0.7601602
98,5.999999999999995e-08,0.6784195
99,3.999999999999983e-08,0.525529
100,2.000000000000002e-08,0.3309759
101,0.0,0.2182912
102,-2.000000000000002e-08,-0.4453505
103,-4.000000000000004e-08,-0.8506883
104,-6.000000000000006e-08,-1.070287
105,-8.000000000000008e-08,-1.216249
106,-1.000000000000001e-07,-1.341906
107,-1.2000000000000012e-07,-1.442979
108,-1.4000000000000014e-07,-1.537055
109,-1.6000000000000016e-07,-1.611146
110,-1.7999999999999997e-07,-1.675879
111,-2e-07,-1.737657
112,-2.2e-07,-1.773084
113,-2.4000000000000003e-07,-1.823197
114,-2.6000000000000005e-07,-1.837844
