,I,V
0,0.0,0.0001650515
1,2e-08,0.0007363121
2,4e-08,0.0002085714
3,6.000000000000001e-08,0.0001924302
4,8e-08,0.0001702617
5,1e-07,0.0001372643
6,1.2000000000000002e-07,0.0001079447
7,1.4e-07,6.248415e-05
8,1.6e-07,3.725052e-05
9,1.8e-07,2.192671e-05
10,2e-07,-1.393099e-05
11,2.2e-07,-4.22289e-05
12,2.4000000000000003e-07,-6.286532e-05
13,2.6e-07,-0.0001033202
14,2.8e-07,-0.0001138427
15,3e-07,-0.0001470444
16,3.2e-07,-0.0001772833
17,3.4000000000000003e-07,-0.0002060925
18,3.6e-07,-0.0002294868
19,3.8e-07,-0.000240111
20,4e-07,-0.0002841418
21,4.2e-07,-0.000288024
22,4.4e-07,-0.0003077402
23,4.6e-07,-0.0003129508
24,4.800000000000001e-07,-0.000354836
25,5e-07,-0.0003810908
26,5.2e-07,-0.0003856879
27,5.4e-07,-0.0004308424
28,5.6e-07,-0.0004502523
29,5.800000000000001e-07,-0.0004675173
30,6e-07,-0.0005106282
31,6.2e-07,-0.0005129782
32,6.4e-07,-0.0005274853
33,6.6e-07,-0.0005447495
34,6.800000000000001e-07,-0.0005982812
35,7e-07,-0.0005750907
36,7.2e-07,-0.0006280096
37,7.4e-07,-0.0005969534
38,7.6e-07,-0.0006356708
39,7.8e-07,-0.0006246378
40,8e-07,-0.0006571247
41,8.2e-07,-0.0006413917
42,8.4e-07,-0.0006288254
43,8.6e-07,-0.0006504848
44,8.8e-07,-0.0007160704
45,9.000000000000001e-07,-0.0007247543
46,9.2e-07,-0.0007336414
47,9.4e-07,-0.0007402815
48,9.600000000000001e-07,-0.0006839926
49,9.8e-07,-0.0006798038
50,1e-06,-0.0007020745
51,1e-06,-0.000707182
52,9.8e-07,-0.0007804306
53,9.6e-07,-0.0007252643
54,9.399999999999999e-07,-0.0007332328
55,9.2e-07,-0.000805868
56,9e-07,-0.0007660262
57,8.799999999999999e-07,-0.0007202589
58,8.599999999999999e-07,-0.0006841968
59,8.4e-07,-0.0007168876
60,8.2e-07,-0.0007005424
61,8e-07,-0.0006866485
62,7.799999999999999e-07,-0.000672448
63,7.599999999999999e-07,-0.0006644797
64,7.399999999999999e-07,-0.0006390422
65,7.199999999999999e-07,-0.0006564093
66,7e-07,-0.000643333
67,6.8e-07,-0.0005945007
68,6.599999999999999e-07,-0.0006029799
69,6.4e-07,-0.0005857152
70,6.2e-07,-0.0005657939
71,6e-07,-0.0005200267
72,5.8e-07,-0.0005348402
73,5.599999999999999e-07,-0.0004969387
74,5.399999999999999e-07,-0.0004610808
75,5.199999999999999e-07,-0.00046057
76,5e-07,-0.0004250189
77,4.8e-07,-0.0004083673
78,4.5999999999999994e-07,-0.0003940649
79,4.399999999999999e-07,-0.0003659712
80,4.199999999999999e-07,-0.0003351193
81,4e-07,-0.0002998738
82,3.7999999999999996e-07,-0.0002826093
83,3.5999999999999994e-07,-0.0002852653
84,3.399999999999999e-07,-0.0002430739
85,3.199999999999999e-07,-0.0002258086
86,3e-07,-0.0002004734
87,2.7999999999999997e-07,-0.0001603249
88,2.5999999999999995e-07,-0.0001395867
89,2.399999999999999e-07,-8.952862e-05
90,2.199999999999999e-07,-6.889261e-05
91,2e-07,-3.262612e-05
92,1.7999999999999997e-07,-1.413526e-05
93,1.5999999999999995e-07,2.253981e-05
94,1.3999999999999993e-07,4.991842e-05
95,1.199999999999999e-07,9.03733e-05
96,9.999999999999989e-08,0.0001062082
97,7.999999999999998e-08,0.0001452329
98,5.999999999999995e-08,0.0001711811
99,3.999999999999983e-08,0.0001942692
100,2.000000000000002e-08,0.0001946779
101,0.0,0.0001468674
102,-2.000000000000002e-08,-0.0001144555
103,-4.000000000000004e-08,-0.0004240992
104,-6.000000000000006e-08,-0.007944227
105,-8.000000000000008e-08,-0.01055419
106,-1.000000000000001e-07,-0.01315403
107,-1.2000000000000012e-07,-0.01570945
108,-1.4000000000000014e-07,-0.01817015
109,-1.6000000000000016e-07,-0.02066732
110,-1.7999999999999997e-07,-0.02338158
111,-2e-07,-0.02589183
112,-2.2e-07,-0.028597
113,-2.4000000000000003e-07,-0.03130772
114,-2.6000000000000005e-07,-0.03399559
115,-2.8000000000000007e-07,-0.03668748
116,-3.000000000000001e-07,-0.03941861
117,-3.200000000000001e-07,-0.0421209
118,-3.4000000000000013e-07,-0.04504328
119,-3.6000000000000015e-07,-0.04769391
120,-3.8000000000000017e-07,-0.05002568
121,-4e-07,-0.05324897
122,-4.2e-07,-0.0556621
123,-4.4e-07,-0.05869519
124,-4.6000000000000004e-07,-0.06122201
125,-4.800000000000001e-07,-0.06402808
126,-5.000000000000001e-07,-0.06668099
127,-5.200000000000001e-07,-0.06919511
128,-5.400000000000001e-07,-0.07219592
129,-5.600000000000001e-07,-0.07456753
130,-5.800000000000002e-07,-0.07728824
131,-6e-07,-0.0794965
132,-6.2e-07,-0.08218838
133,-6.4e-07,-0.08460688
134,-6.6e-07,-0.08747777
135,-6.800000000000001e-07,-0.09032714
