,I,V
0,0.0,7.187977e-05
1,2e-08,-0.00198654
2,4e-08,-0.00453247
3,6.000000000000001e-08,-0.007162065
4,8e-08,-0.009704721
5,1e-07,-0.01219844
6,1.2000000000000002e-07,-0.01468696
7,1.4e-07,-0.0171628
8,1.6e-07,-0.01964252
9,1.8e-07,-0.02211144
10,2e-07,-0.02456112
11,2.2e-07,-0.02705689
12,2.4000000000000003e-07,-0.02955224
13,2.6e-07,-0.03208397
14,2.8e-07,-0.03466349
15,3e-07,-0.03716694
16,3.2e-07,-0.03968006
17,3.4000000000000003e-07,-0.042151
18,3.6e-07,-0.04463626
19,3.8e-07,-0.04708452
20,4e-07,-0.04957332
21,4.2e-07,-0.05203723
22,4.4e-07,-0.05443214
23,4.6e-07,-0.05682039
24,4.800000000000001e-07,-0.05913224
25,5e-07,-0.06144312
26,5.2e-07,-0.06369733
27,5.4e-07,-0.06596594
28,5.6e-07,-0.06805763
29,5.800000000000001e-07,-0.07015243
30,6e-07,-0.07241885
31,6.2e-07,-0.07428787
32,6.4e-07,-0.07653188
33,6.6e-07,-0.07867683
34,6.800000000000001e-07,-0.0807219
35,7e-07,-0.08254544
36,7.2e-07,-0.08473767
37,7.4e-07,-0.08648289
38,7.6e-07,-0.0880093
39,7.8e-07,-0.09014817
40,8e-07,-0.09177336
41,8.2e-07,-0.09415179
42,8.4e-07,-0.09606244
43,8.6e-07,-0.09772966
44,8.8e-07,-0.09967589
45,9.000000000000001e-07,-0.1014393
46,9.2e-07,-0.1030662
47,9.4e-07,-0.1046247
48,9.600000000000001e-07,-0.1067633
49,9.8e-07,-0.1086396
50,1e-06,-0.1099797
51,1e-06,-0.110276
52,9.8e-07,-0.1086021
53,9.6e-07,-0.1071476
54,9.399999999999999e-07,-0.1051071
55,9.2e-07,-0.1034674
56,9e-07,-0.1015805
57,8.799999999999999e-07,-0.09984636
58,8.599999999999999e-07,-0.09785601
59,8.4e-07,-0.09618672
60,8.2e-07,-0.09470858
61,8e-07,-0.0925561
62,7.799999999999999e-07,-0.0906459
63,7.599999999999999e-07,-0.08921704
64,7.399999999999999e-07,-0.08703732
65,7.199999999999999e-07,-0.08536953
66,7e-07,-0.08317641
67,6.8e-07,-0.08130626
68,6.599999999999999e-07,-0.0793088
69,6.4e-07,-0.07719379
70,6.2e-07,-0.07504372
71,6e-07,-0.07297219
72,5.8e-07,-0.07073876
73,5.599999999999999e-07,-0.06841137
74,5.399999999999999e-07,-0.06627841
75,5.199999999999999e-07,-0.06391184
76,5e-07,-0.06153368
77,4.8e-07,-0.05917096
78,4.5999999999999994e-07,-0.05679755
79,4.399999999999999e-07,-0.0543968
80,4.199999999999999e-07,-0.05196285
81,4e-07,-0.04950539
82,3.7999999999999996e-07,-0.04700532
83,3.5999999999999994e-07,-0.0445241
84,3.399999999999999e-07,-0.04203329
85,3.199999999999999e-07,-0.03952406
86,3e-07,-0.0370052
87,2.7999999999999997e-07,-0.03447757
88,2.5999999999999995e-07,-0.03197394
89,2.399999999999999e-07,-0.02946622
90,2.199999999999999e-07,-0.02698618
91,2e-07,-0.02449276
92,1.7999999999999997e-07,-0.02200967
93,1.5999999999999995e-07,-0.01952258
94,1.3999999999999993e-07,-0.01703326
95,1.199999999999999e-07,-0.01455895
96,9.999999999999989e-08,-0.01206818
97,7.999999999999998e-08,-0.009559242
98,5.999999999999995e-08,-0.007007796
99,3.999999999999983e-08,-0.004407217
100,2.000000000000002e-08,-0.001938218
101,0.0,6.197061e-05
102,-2.000000000000002e-08,0.001869428
103,-4.000000000000004e-08,0.003657156
104,-6.000000000000006e-08,0.005314022
105,-8.000000000000008e-08,0.006792626
106,-1.000000000000001e-07,0.008203192
107,-1.2000000000000012e-07,0.009507013
108,-1.4000000000000014e-07,0.01077211
109,-1.6000000000000016e-07,0.01199042
110,-1.7999999999999997e-07,0.0132545
111,-2e-07,0.01444982
112,-2.2e-07,0.01553523
113,-2.4000000000000003e-07,0.01678347
114,-2.6000000000000005e-07,0.0175096
115,-2.8000000000000007e-07,0.01793201
116,-3.000000000000001e-07,0.01868133
117,-3.200000000000001e-07,0.01939129
118,-3.4000000000000013e-07,0.0204567
119,-3.6000000000000015e-07,0.02104235
120,-3.8000000000000017e-07,0.02233115
121,-4e-07,0.02308905
122,-4.2e-07,0.02378175
123,-4.4e-07,0.02539925
124,-4.6000000000000004e-07,0.02643302
125,-4.800000000000001e-07,0.02718836
126,-5.000000000000001e-07,0.02831359
127,-5.200000000000001e-07,0.0289673
128,-5.400000000000001e-07,0.03010459
129,-5.600000000000001e-07,0.03140547
130,-5.800000000000002e-07,0.03296762
131,-6e-07,0.02846744
132,-6.2e-07,0.02949584
133,-6.4e-07,0.03043976
134,-6.6e-07,0.03150607
135,-6.800000000000001e-07,0.03295648
136,-7.000000000000001e-07,0.03384198
137,-7.200000000000001e-07,0.03494197
138,-7.400000000000001e-07,0.03603383
139,-7.600000000000001e-07,0.03698826
140,-7.800000000000002e-07,0.03774452
141,-8.000000000000002e-07,0.03849539
142,-8.2e-07,0.03937911
143,-8.4e-07,0.04038113
144,-8.6e-07,0.04137871
145,-8.8e-07,0.04240121
146,-9.000000000000001e-07,0.04265057
147,-9.200000000000003e-07,0.04376186
148,-9.400000000000001e-07,0.04442
149,-9.6e-07,0.04561352
150,-9.800000000000001e-07,0.04649651
151,-1e-06,0.04727586
152,-1e-06,0.04745729
153,-9.8e-07,0.04655947
154,-9.6e-07,0.04624908
155,-9.399999999999999e-07,0.0451022
156,-9.2e-07,0.04439397
157,-9e-07,0.04279041
158,-8.799999999999999e-07,0.04241436
159,-8.599999999999999e-07,0.04145088
160,-8.4e-07,0.04109697
161,-8.2e-07,0.03979147
162,-8e-07,0.0390086
163,-7.799999999999999e-07,0.03836582
164,-7.599999999999999e-07,0.03739973
165,-7.399999999999999e-07,0.03640615
166,-7.199999999999999e-07,0.03551752
167,-7e-07,0.03482389
168,-6.8e-07,0.03408302
169,-6.599999999999999e-07,0.03255102
170,-6.4e-07,0.03146039
171,-6.2e-07,0.03093142
172,-6e-07,0.03052189
173,-5.8e-07,0.02885028
174,-5.599999999999999e-07,0.02834046
175,-5.399999999999999e-07,0.02771353
176,-5.199999999999999e-07,0.02600395
177,-5e-07,0.02543127
178,-4.8e-07,0.0244862
179,-4.5999999999999994e-07,0.02346139
180,-4.399999999999999e-07,0.02243881
181,-4.199999999999999e-07,0.02177887
182,-4e-07,0.02066017
183,-3.7999999999999996e-07,0.02005727
184,-3.5999999999999994e-07,0.01892435
185,-3.399999999999999e-07,0.01829669
186,-3.199999999999999e-07,0.016994
187,-3e-07,0.0162352
188,-2.7999999999999997e-07,0.0156715
189,-2.5999999999999995e-07,0.01447557
190,-2.399999999999999e-07,0.01390012
191,-2.199999999999999e-07,0.01250386
192,-2e-07,0.01209911
193,-1.7999999999999997e-07,0.01158638
194,-1.5999999999999995e-07,0.01121525
195,-1.3999999999999993e-07,0.01009308
196,-1.199999999999999e-07,0.009037605
197,-9.999999999999989e-08,0.007895702
198,-7.999999999999998e-08,0.006650629
199,-5.999999999999995e-08,0.005308503
200,-3.999999999999983e-08,0.00380334
201,-2.000000000000002e-08,0.002015613
202,0.0,7.412772e-05
