,I,V
0,0.0,0.1286782
1,2e-08,0.15007
2,4e-08,0.1653753
3,6.000000000000001e-08,0.180586
4,8e-08,0.1932137
5,1e-07,0.2086406
6,1.2000000000000002e-07,0.2147297
7,1.4e-07,0.2208334
8,1.6e-07,0.2262611
9,1.8e-07,0.2340317
10,2e-07,0.239858
11,2.2e-07,0.2425424
12,2.4000000000000003e-07,0.2496831
13,2.6e-07,0.2548443
14,2.8e-07,0.2656595
15,3e-07,0.2695731
16,3.2e-07,0.2757957
17,3.4000000000000003e-07,0.2831132
18,3.6e-07,0.2867339
19,3.8e-07,0.2932097
20,4e-07,0.2999434
21,4.2e-07,0.3049942
22,4.4e-07,0.3109637
23,4.6e-07,0.3166963
24,4.800000000000001e-07,0.3228245
25,5e-07,0.3245723
26,5.2e-07,0.3344085
27,5.4e-07,0.3404713
28,5.6e-07,0.3461973
29,5.800000000000001e-07,0.351923
30,6e-07,0.3590284
31,6.2e-07,0.3645795
32,6.4e-07,0.3706322
33,6.6e-07,0.3754355
34,6.800000000000001e-07,0.3800379
35,7e-07,0.3854169
36,7.2e-07,0.3905856
37,7.4e-07,0.3955791
38,7.6e-07,0.3986143
39,7.8e-07,0.4001692
40,8e-07,0.4075482
41,8.2e-07,0.4144544
42,8.4e-07,0.4170273
43,8.6e-07,0.4225201
44,8.8e-07,0.4254276
45,9.000000000000001e-07,0.429574
46,9.2e-07,0.4325612
47,9.4e-07,0.4384078
48,9.600000000000001e-07,0.4395433
49,9.8e-07,0.4444508
50,1e-06,0.4456879
51,1e-06,0.4469508
52,9.8e-07,0.4454363
53,9.6e-07,0.4456228
54,9.399999999999999e-07,0.4436177
55,9.2e-07,0.4422865
56,9e-07,0.4425012
57,8.799999999999999e-07,0.4420747
58,8.599999999999999e-07,0.4422194
59,8.4e-07,0.4380201
60,8.2e-07,0.4383374
61,8e-07,0.4356715
62,7.799999999999999e-07,0.4387343
63,7.599999999999999e-07,0.4384713
64,7.399999999999999e-07,0.4348973
65,7.199999999999999e-07,0.432486
66,7e-07,0.4299554
67,6.8e-07,0.4284528
68,6.599999999999999e-07,0.4280026
69,6.4e-07,0.4248538
70,6.2e-07,0.4226674
71,6e-07,0.4196463
72,5.8e-07,0.4184554
73,5.599999999999999e-07,0.4150953
74,5.399999999999999e-07,0.4126543
75,5.199999999999999e-07,0.4107538
76,5e-07,0.4087019
77,4.8e-07,0.4023166
78,4.5999999999999994e-07,0.4031343
79,4.399999999999999e-07,0.3972683
80,4.199999999999999e-07,0.3961219
81,4e-07,0.387451
82,3.7999999999999996e-07,0.3849648
83,3.5999999999999994e-07,0.3851662
84,3.399999999999999e-07,0.377689
85,3.199999999999999e-07,0.3769435
86,3e-07,0.3753444
87,2.7999999999999997e-07,0.3700863
88,2.5999999999999995e-07,0.364711
89,2.399999999999999e-07,0.3596381
90,2.199999999999999e-07,0.3553646
91,2e-07,0.3522024
92,1.7999999999999997e-07,0.3432593
93,1.5999999999999995e-07,0.3423562
94,1.3999999999999993e-07,0.3342928
95,1.199999999999999e-07,0.3290915
96,9.999999999999989e-08,0.3215096
97,7.999999999999998e-08,0.3172601
98,5.999999999999995e-08,0.3128701
99,3.999999999999983e-08,0.3084564
100,2.000000000000002e-08,0.301196
101,0.0,0.2988215
102,-2.000000000000002e-08,0.2962663
103,-4.000000000000004e-08,0.2867794
104,-6.000000000000006e-08,0.2832295
105,-8.000000000000008e-08,0.2776115
106,-1.000000000000001e-07,0.2719574
107,-1.2000000000000012e-07,0.2665776
108,-1.4000000000000014e-07,0.2615283
109,-1.6000000000000016e-07,0.2527152
110,-1.7999999999999997e-07,0.2467583
111,-2e-07,0.2385731
112,-2.2e-07,0.2324323
113,-2.4000000000000003e-07,0.2265363
114,-2.6000000000000005e-07,0.2188499
115,-2.8000000000000007e-07,0.2146581
116,-3.000000000000001e-07,0.2087868
117,-3.200000000000001e-07,0.2013724
118,-3.4000000000000013e-07,0.1931707
119,-3.6000000000000015e-07,0.1866067
120,-3.8000000000000017e-07,0.1803542
121,-4e-07,0.1740906
122,-4.2e-07,0.167177
123,-4.4e-07,0.1632666
124,-4.6000000000000004e-07,0.1549289
125,-4.800000000000001e-07,0.1482639
126,-5.000000000000001e-07,0.1415385
127,-5.200000000000001e-07,0.135288
128,-5.400000000000001e-07,0.128538
129,-5.600000000000001e-07,0.1218028
130,-5.800000000000002e-07,0.1185779
131,-6e-07,0.1121726
132,-6.2e-07,0.1018395
133,-6.4e-07,0.09477748
134,-6.6e-07,0.08833823
135,-6.800000000000001e-07,0.08398442
136,-7.000000000000001e-07,0.0752354
137,-7.200000000000001e-07,0.06603611
138,-7.400000000000001e-07,0.0604865
139,-7.600000000000001e-07,0.05323846
140,-7.800000000000002e-07,0.04831293
141,-8.000000000000002e-07,0.04035268
142,-8.2e-07,0.03513354
143,-8.4e-07,0.02678696
144,-8.6e-07,0.01963701
145,-8.8e-07,0.01515889
146,-9.000000000000001e-07,0.006000906
147,-9.200000000000003e-07,-0.000941211
148,-9.400000000000001e-07,-0.007023377
149,-9.6e-07,-0.01337616
150,-9.800000000000001e-07,-0.02120973
151,-1e-06,-0.02760733
152,-1e-06,-0.03214398
153,-9.8e-07,-0.03652481
154,-9.6e-07,-0.03606918
155,-9.399999999999999e-07,-0.03951158
156,-9.2e-07,-0.03951291
157,-9e-07,-0.04026295
158,-8.799999999999999e-07,-0.04095262
159,-8.599999999999999e-07,-0.04105794
160,-8.4e-07,-0.03865021
161,-8.2e-07,-0.03759213
162,-8e-07,-0.03413932
163,-7.799999999999999e-07,-0.03285468
164,-7.599999999999999e-07,-0.03071508
165,-7.399999999999999e-07,-0.02784465
166,-7.199999999999999e-07,-0.02444579
167,-7e-07,-0.0235008
168,-6.8e-07,-0.02025016
169,-6.599999999999999e-07,-0.01588842
170,-6.4e-07,-0.01324866
171,-6.2e-07,-0.008989916
172,-6e-07,-0.005741501
173,-5.8e-07,-0.002226764
174,-5.599999999999999e-07,0.001688482
175,-5.399999999999999e-07,0.008268924
176,-5.199999999999999e-07,0.01277443
177,-5e-07,0.01601484
178,-4.8e-07,0.02181218
179,-4.5999999999999994e-07,0.02611203
180,-4.399999999999999e-07,0.03079731
181,-4.199999999999999e-07,0.03474076
182,-4e-07,0.04064506
183,-3.7999999999999996e-07,0.04622304
184,-3.5999999999999994e-07,0.04971027
185,-3.399999999999999e-07,0.05817609
186,-3.199999999999999e-07,0.06361063
187,-3e-07,0.0679199
188,-2.7999999999999997e-07,0.07363703
189,-2.5999999999999995e-07,0.08110882
190,-2.399999999999999e-07,0.08578672
191,-2.199999999999999e-07,0.09371955
192,-2e-07,0.09804058
193,-1.7999999999999997e-07,0.1021556
194,-1.5999999999999995e-07,0.1126224
195,-1.3999999999999993e-07,0.116241
196,-1.199999999999999e-07,0.1227863
197,-9.999999999999989e-08,0.1276365
198,-7.999999999999998e-08,0.1323433
199,-5.999999999999995e-08,0.1426284
200,-3.999999999999983e-08,0.1445851
201,-2.000000000000002e-08,0.1530775
202,0.0,0.1581405
