,I,V
0,0.0,0.1151325
1,2.0000000000000002e-07,0.1294118
2,4.0000000000000003e-07,0.1498756
3,6.000000000000001e-07,0.1738659
4,8.000000000000001e-07,0.1986633
5,1.0000000000000002e-06,0.2336576
6,1.2000000000000002e-06,0.2562804
7,1.4000000000000001e-06,0.282628
8,1.6000000000000001e-06,0.3032731
9,1.8000000000000001e-06,0.3272064
10,2.0000000000000003e-06,0.3474668
11,2.2e-06,0.3719357
12,2.4000000000000003e-06,0.392718
13,2.6e-06,0.415726
14,2.8000000000000003e-06,0.4356507
15,3e-06,0.4511873
16,3.2000000000000003e-06,0.4654038
17,3.4000000000000005e-06,0.4799672
18,3.6000000000000003e-06,0.4889174
19,3.8000000000000005e-06,0.4959646
20,4.000000000000001e-06,0.5031117
21,4.2000000000000004e-06,0.5083861
22,4.4e-06,0.5122886
23,4.6e-06,0.5170055
24,4.800000000000001e-06,0.5221944
25,5e-06,0.5227582
26,5.2e-06,0.5276952
27,5.400000000000001e-06,0.5289226
28,5.600000000000001e-06,0.5290349
29,5.8e-06,0.5318412
30,6e-06,0.5324772
31,6.200000000000001e-06,0.5358666
32,6.4000000000000006e-06,0.5367976
33,6.6e-06,0.5383188
34,6.800000000000001e-06,0.5403035
35,7.000000000000001e-06,0.5431333
36,7.2000000000000005e-06,0.5424137
37,7.4e-06,0.5451272
38,7.600000000000001e-06,0.5417535
39,7.8e-06,0.5444501
40,8.000000000000001e-06,0.5456617
41,8.200000000000001e-06,0.5466833
42,8.400000000000001e-06,0.5500485
43,8.6e-06,0.5464649
44,8.8e-06,0.5473961
45,9e-06,0.5493331
46,9.2e-06,0.5469
47,9.400000000000001e-06,0.5455332
48,9.600000000000001e-06,0.5463552
49,9.800000000000001e-06,0.549483
50,1e-05,0.5496172
51,1e-05,0.5399301
52,9.800000000000001e-06,0.5263688
53,9.600000000000001e-06,0.5123499
54,9.400000000000001e-06,0.5043772
55,9.2e-06,0.4954835
56,9e-06,0.4891016
57,8.8e-06,0.4831563
58,8.6e-06,0.475423
59,8.400000000000001e-06,0.4709255
60,8.200000000000001e-06,0.4668488
61,8.000000000000001e-06,0.4601669
62,7.8e-06,0.4559769
63,7.6e-06,0.4496893
64,7.4e-06,0.4470412
65,7.2000000000000005e-06,0.4414909
66,7.000000000000001e-06,0.4388979
67,6.800000000000001e-06,0.4350706
68,6.6e-06,0.4307639
69,6.4000000000000006e-06,0.4257041
70,6.2e-06,0.4225193
71,6e-06,0.4172475
72,5.8e-06,0.4145448
73,5.600000000000001e-06,0.4085941
74,5.400000000000001e-06,0.4038514
75,5.2e-06,0.4001894
76,5e-06,0.3941984
77,4.800000000000001e-06,0.386531
78,4.6e-06,0.3839679
79,4.4e-06,0.3789134
80,4.2000000000000004e-06,0.3734629
81,4.000000000000001e-06,0.3653322
82,3.8e-06,0.3600974
83,3.6000000000000003e-06,0.355377
84,3.4000000000000005e-06,0.3517279
85,3.2e-06,0.3502919
86,3e-06,0.3445228
87,2.8000000000000003e-06,0.3416995
88,2.6000000000000005e-06,0.3361306
89,2.4e-06,0.3344226
90,2.200000000000001e-06,0.3279739
91,1.9999999999999995e-06,0.3187952
92,1.7999999999999997e-06,0.3168454
93,1.6e-06,0.3082864
94,1.4000000000000001e-06,0.3020695
95,1.2000000000000004e-06,0.2950805
96,1.0000000000000006e-06,0.2875139
97,8.000000000000008e-07,0.281899
98,5.999999999999993e-07,0.2687868
99,3.9999999999999956e-07,0.2575084
100,1.9999999999999978e-07,0.2411343
101,0.0,0.2238418
102,-1.9999999999999978e-07,0.2023193
103,-3.9999999999999956e-07,0.1744568
104,-5.999999999999993e-07,0.1447714
105,-8.000000000000008e-07,0.1157056
106,-1.0000000000000006e-06,0.08865987
107,-1.2000000000000004e-06,0.06248882
108,-1.4000000000000001e-06,0.03508226
109,-1.6e-06,0.00571241
110,-1.7999999999999997e-06,-0.01854049
111,-1.9999999999999995e-06,-0.03837537
112,-2.200000000000001e-06,-0.06038968
113,-2.4000000000000007e-06,-0.09099454
114,-2.6000000000000005e-06,-0.1142468
115,-2.8000000000000003e-06,-0.138862
116,-3e-06,-0.1598946
117,-3.2e-06,-0.1744618
118,-3.3999999999999996e-06,-0.1838419
119,-3.600000000000001e-06,-0.1903674
120,-3.800000000000001e-06,-0.1965743
121,-4.000000000000001e-06,-0.2091496
122,-4.2000000000000004e-06,-0.2144586
123,-4.4e-06,-0.2127172
124,-4.6e-06,-0.2160532
125,-4.8e-06,-0.2176932
126,-5.000000000000001e-06,-0.2228812
127,-5.200000000000001e-06,-0.2260952
128,-5.400000000000001e-06,-0.2282267
129,-5.599999999999999e-06,-0.2296855
130,-5.8e-06,-0.2277007
131,-6.000000000000002e-06,-0.2294636
132,-6.2e-06,-0.2319162
133,-6.400000000000001e-06,-0.2331597
134,-6.5999999999999995e-06,-0.2314953
135,-6.800000000000001e-06,-0.2305368
136,-6.999999999999999e-06,-0.2338155
137,-7.2000000000000005e-06,-0.2348256
138,-7.400000000000002e-06,-0.232387
139,-7.6e-06,-0.2332394
140,-7.800000000000002e-06,-0.2353264
141,-8e-06,-0.2325055
142,-8.200000000000001e-06,-0.2322338
143,-8.4e-06,-0.2352099
144,-8.6e-06,-0.2378321
145,-8.800000000000002e-06,-0.2376788
146,-9e-06,-0.2393135
147,-9.200000000000002e-06,-0.2390829
148,-9.4e-06,-0.2406564
149,-9.600000000000001e-06,-0.2442948
150,-9.8e-06,-0.249209
151,-1e-05,-0.25201
152,-1e-05,-0.2514921
153,-9.800000000000001e-06,-0.2429121
154,-9.600000000000001e-06,-0.2375703
155,-9.400000000000001e-06,-0.2320415
156,-9.2e-06,-0.2292965
157,-9e-06,-0.2222196
158,-8.8e-06,-0.2210176
159,-8.6e-06,-0.2193141
160,-8.400000000000001e-06,-0.2161611
161,-8.200000000000001e-06,-0.2199478
162,-8.000000000000001e-06,-0.2191744
163,-7.8e-06,-0.2204652
164,-7.6e-06,-0.2204987
165,-7.4e-06,-0.2228158
166,-7.2000000000000005e-06,-0.2208455
167,-7.000000000000001e-06,-0.2259725
168,-6.800000000000001e-06,-0.2236978
169,-6.6e-06,-0.2249059
170,-6.4000000000000006e-06,-0.2249226
171,-6.2e-06,-0.2248863
172,-6e-06,-0.2221195
173,-5.8e-06,-0.223317
174,-5.600000000000001e-06,-0.2221501
175,-5.400000000000001e-06,-0.2232612
176,-5.2e-06,-0.2190376
177,-5e-06,-0.215275
178,-4.800000000000001e-06,-0.2120935
179,-4.6e-06,-0.2087736
180,-4.4e-06,-0.2081454
181,-4.2000000000000004e-06,-0.2033122
182,-4.000000000000001e-06,-0.2034927
183,-3.8e-06,-0.2036871
184,-3.6000000000000003e-06,-0.20095
185,-3.4000000000000005e-06,-0.1986804
186,-3.2e-06,-0.1985183
187,-3e-06,-0.1948873
188,-2.8000000000000003e-06,-0.1926607
189,-2.6000000000000005e-06,-0.1904111
190,-2.4e-06,-0.1877218
191,-2.200000000000001e-06,-0.185099
192,-1.9999999999999995e-06,-0.1812378
193,-1.7999999999999997e-06,-0.1786914
194,-1.6e-06,-0.1707539
195,-1.4000000000000001e-06,-0.1686939
196,-1.2000000000000004e-06,-0.1612936
197,-1.0000000000000006e-06,-0.1512218
198,-8.000000000000008e-07,-0.1410785
199,-5.999999999999993e-07,-0.1271912
200,-3.9999999999999956e-07,-0.1081335
201,-1.9999999999999978e-07,-0.08403284
202,0.0,-0.06027323
