,I,V
0,0.0,0.1105565
1,2.0000000000000002e-07,0.1264475
2,4.0000000000000003e-07,0.144425
3,6.000000000000001e-07,0.1688807
4,8.000000000000001e-07,0.1938096
5,1.0000000000000002e-06,0.2289288
6,1.2000000000000002e-06,0.2511156
7,1.4000000000000001e-06,0.2743825
8,1.6000000000000001e-06,0.2924817
9,1.8000000000000001e-06,0.3156005
10,2.0000000000000003e-06,0.3336815
11,2.2e-06,0.3544905
12,2.4000000000000003e-06,0.3773589
13,2.6e-06,0.3992046
14,2.8000000000000003e-06,0.4237663
15,3e-06,0.4444184
16,3.2000000000000003e-06,0.4587824
17,3.4000000000000005e-06,0.4741284
18,3.6000000000000003e-06,0.48644
19,3.8000000000000005e-06,0.4971562
20,4.000000000000001e-06,0.5066871
21,4.2000000000000004e-06,0.5114232
22,4.4e-06,0.5174009
23,4.6e-06,0.5222552
24,4.800000000000001e-06,0.5268295
25,5e-06,0.5271936
26,5.2e-06,0.5304936
27,5.400000000000001e-06,0.5309469
28,5.600000000000001e-06,0.5364481
29,5.8e-06,0.5384197
30,6e-06,0.5397488
31,6.200000000000001e-06,0.5412943
32,6.4000000000000006e-06,0.5405775
33,6.6e-06,0.5422989
34,6.800000000000001e-06,0.5433582
35,7.000000000000001e-06,0.5423122
36,7.2000000000000005e-06,0.5428422
37,7.4e-06,0.5417382
38,7.600000000000001e-06,0.5440146
39,7.8e-06,0.5452538
40,8.000000000000001e-06,0.5440332
41,8.200000000000001e-06,0.5444378
42,8.400000000000001e-06,0.548255
43,8.6e-06,0.5485913
44,8.8e-06,0.5466531
45,9e-06,0.548214
46,9.2e-06,0.5468532
47,9.400000000000001e-06,0.5467989
48,9.600000000000001e-06,0.5466803
49,9.800000000000001e-06,0.5488891
50,1e-05,0.548699
51,1e-05,0.5378789
52,9.800000000000001e-06,0.5223511
53,9.600000000000001e-06,0.5120527
54,9.400000000000001e-06,0.5013354
55,9.2e-06,0.4906807
56,9e-06,0.4817462
57,8.8e-06,0.4778396
58,8.6e-06,0.4681973
59,8.400000000000001e-06,0.4653979
60,8.200000000000001e-06,0.4594171
61,8.000000000000001e-06,0.4532774
62,7.8e-06,0.4503392
63,7.6e-06,0.4457444
64,7.4e-06,0.4397686
65,7.2000000000000005e-06,0.4367622
66,7.000000000000001e-06,0.4319651
67,6.800000000000001e-06,0.4282962
68,6.6e-06,0.4237938
69,6.4000000000000006e-06,0.4224649
70,6.2e-06,0.4130483
71,6e-06,0.4138764
72,5.8e-06,0.401461
73,5.600000000000001e-06,0.4024562
74,5.400000000000001e-06,0.3943743
75,5.2e-06,0.3923284
76,5e-06,0.3852543
77,4.800000000000001e-06,0.3826392
