,I,V
0,0.0,-0.009575328
1,2.0000000000000002e-07,-0.008173123
2,4.0000000000000003e-07,-0.004777006
3,6.000000000000001e-07,-0.001590312
4,8.000000000000001e-07,0.003579028
5,1.0000000000000002e-06,0.007742283
6,1.2000000000000002e-06,0.008012785
7,1.4000000000000001e-06,0.008031483
8,1.6000000000000001e-06,0.003442858
9,1.8000000000000001e-06,0.003596495
10,2.0000000000000003e-06,0.001558232
11,2.2e-06,0.003581275
12,2.4000000000000003e-06,0.01044536
13,2.6e-06,0.01445887
14,2.8000000000000003e-06,0.01935374
15,3e-06,0.02465868
16,3.2000000000000003e-06,0.03154248
17,3.4000000000000005e-06,0.03891059
18,3.6000000000000003e-06,0.04066055
19,3.8000000000000005e-06,0.04412808
20,4.000000000000001e-06,0.04589959
21,4.2000000000000004e-06,0.04659978
22,4.4e-06,0.05158576
23,4.6e-06,0.06157971
24,4.800000000000001e-06,0.07248604
25,5e-06,0.08304591
26,5.2e-06,0.08852284
27,5.400000000000001e-06,0.0948138
28,5.600000000000001e-06,0.09816165
29,5.8e-06,0.1013618
30,6e-06,0.1058331
31,6.200000000000001e-06,0.1092467
32,6.4000000000000006e-06,0.1095737
33,6.6e-06,0.114237
34,6.800000000000001e-06,0.1162179
35,7.000000000000001e-06,0.1186587
36,7.2000000000000005e-06,0.1216154
37,7.4e-06,0.1237233
38,7.600000000000001e-06,0.127622
39,7.8e-06,0.1299756
40,8.000000000000001e-06,0.1308326
41,8.200000000000001e-06,0.1353443
42,8.400000000000001e-06,0.1365403
43,8.6e-06,0.1389332
44,8.8e-06,0.1423201
45,9e-06,0.1444515
46,9.2e-06,0.1457727
47,9.400000000000001e-06,0.1511716
48,9.600000000000001e-06,0.1497632
49,9.800000000000001e-06,0.1531428
50,1e-05,0.1538094
51,1e-05,0.1537544
52,9.800000000000001e-06,0.1497036
53,9.600000000000001e-06,0.1478982
54,9.400000000000001e-06,0.1429826
55,9.2e-06,0.1390915
56,9e-06,0.1360812
57,8.8e-06,0.1317017
58,8.6e-06,0.1306618
59,8.400000000000001e-06,0.128002
60,8.200000000000001e-06,0.1233621
61,8.000000000000001e-06,0.1213267
62,7.8e-06,0.1170469
63,7.6e-06,0.1142818
64,7.4e-06,0.109405
65,7.2000000000000005e-06,0.107194
66,7.000000000000001e-06,0.1019946
67,6.800000000000001e-06,0.09859353
68,6.6e-06,0.09752477
69,6.4000000000000006e-06,0.09256622
70,6.2e-06,0.09012507
71,6e-06,0.0893639
72,5.8e-06,0.0855003
73,5.600000000000001e-06,0.08238198
74,5.400000000000001e-06,0.07715491
75,5.2e-06,0.07542301
76,5e-06,0.07385524
77,4.800000000000001e-06,0.0718929
78,4.6e-06,0.06815737
79,4.4e-06,0.06360205
80,4.2000000000000004e-06,0.06158062
81,4.000000000000001e-06,0.05878831
82,3.8e-06,0.05490306
83,3.6000000000000003e-06,0.05074105
84,3.4000000000000005e-06,0.04916441
85,3.2e-06,0.04754795
86,3e-06,0.04369301
87,2.8000000000000003e-06,0.0382705
88,2.6000000000000005e-06,0.0357809
89,2.4e-06,0.03316026
90,2.200000000000001e-06,0.02969248
91,1.9999999999999995e-06,0.02620384
92,1.7999999999999997e-06,0.02424729
93,1.6e-06,0.01948572
94,1.4000000000000001e-06,0.01584048
95,1.2000000000000004e-06,0.01147375
96,1.0000000000000006e-06,0.007914715
97,8.000000000000008e-07,0.003864749
98,5.999999999999993e-07,0.001822195
99,3.9999999999999956e-07,-0.002672871
100,1.9999999999999978e-07,-0.005829121
101,0.0,-0.01018387
102,-1.9999999999999978e-07,-0.01472139
103,-3.9999999999999956e-07,-0.01797931
104,-5.999999999999993e-07,-0.01861164
105,-8.000000000000008e-07,-0.02310677
106,-1.0000000000000006e-06,-0.02642495
107,-1.2000000000000004e-06,-0.03163608
108,-1.4000000000000001e-06,-0.03794286
109,-1.6e-06,-0.04196537
110,-1.7999999999999997e-06,-0.04488983
111,-1.9999999999999995e-06,-0.04883844
112,-2.200000000000001e-06,-0.05142586
113,-2.4000000000000007e-06,-0.05769739
114,-2.6000000000000005e-06,-0.05959682
115,-2.8000000000000003e-06,-0.0652799
116,-3e-06,-0.07086464
117,-3.2e-06,-0.07296804
118,-3.3999999999999996e-06,-0.07519376
119,-3.600000000000001e-06,-0.07703319
120,-3.800000000000001e-06,-0.07999809
121,-4.000000000000001e-06,-0.0841407
122,-4.2000000000000004e-06,-0.081605
123,-4.4e-06,-0.08038281
124,-4.6e-06,-0.08492571
125,-4.8e-06,-0.08984339
126,-5.000000000000001e-06,-0.09587957
127,-5.200000000000001e-06,-0.09594976
128,-5.400000000000001e-06,-0.1024628
129,-5.599999999999999e-06,-0.1033385
130,-5.8e-06,-0.1108682
131,-6.000000000000002e-06,-0.1128249
132,-6.2e-06,-0.1182196
133,-6.400000000000001e-06,-0.1244721
134,-6.5999999999999995e-06,-0.1247723
135,-6.800000000000001e-06,-0.1300824
136,-6.999999999999999e-06,-0.1331801
137,-7.2000000000000005e-06,-0.1384699
138,-7.400000000000002e-06,-0.1426466
139,-7.6e-06,-0.1453579
140,-7.800000000000002e-06,-0.1469581
141,-8e-06,-0.1525447
142,-8.200000000000001e-06,-0.1578949
143,-8.4e-06,-0.1623808
144,-8.6e-06,-0.1692846
145,-8.800000000000002e-06,-0.171564
146,-9e-06,-0.1756752
147,-9.200000000000002e-06,-0.1823408
148,-9.4e-06,-0.1826252
149,-9.600000000000001e-06,-0.1840456
150,-9.8e-06,-0.1898676
151,-1e-05,-0.1939816
152,-1e-05,-0.1949156
153,-9.800000000000001e-06,-0.1947263
154,-9.600000000000001e-06,-0.1922695
155,-9.400000000000001e-06,-0.1911644
156,-9.2e-06,-0.1866229
157,-9e-06,-0.1859033
158,-8.8e-06,-0.1779384
159,-8.6e-06,-0.1772013
160,-8.400000000000001e-06,-0.1784351
161,-8.200000000000001e-06,-0.1689939
162,-8.000000000000001e-06,-0.1691162
163,-7.8e-06,-0.166698
164,-7.6e-06,-0.158695
165,-7.4e-06,-0.1532498
166,-7.2000000000000005e-06,-0.1547777
167,-7.000000000000001e-06,-0.1593222
168,-6.800000000000001e-06,-0.1484957
169,-6.6e-06,-0.1415761
170,-6.4000000000000006e-06,-0.1389691
171,-6.2e-06,-0.1304186
172,-6e-06,-0.1261005
173,-5.8e-06,-0.1261698
