,I,V
0,0.0,0.1459236
1,2.0000000000000002e-07,7.344507
2,4.0000000000000003e-07,20.87961
3,6.000000000000001e-07,20.99989
4,8.000000000000001e-07,20.9998
5,1.0000000000000002e-06,20.99979
6,1.2000000000000002e-06,20.99973
7,1.4000000000000001e-06,20.99969
8,1.6000000000000001e-06,20.99982
9,1.8000000000000001e-06,20.99981
10,2.0000000000000003e-06,20.99969
11,2.2e-06,20.99975
12,2.4000000000000003e-06,20.9998
13,2.6e-06,20.99966
14,2.8000000000000003e-06,20.99975
15,3e-06,20.99971
16,3.2000000000000003e-06,20.99976
17,3.4000000000000005e-06,20.9997
18,3.6000000000000003e-06,20.99973
19,3.8000000000000005e-06,20.99971
20,4.000000000000001e-06,20.99971
21,4.2000000000000004e-06,20.99975
22,4.4e-06,20.99964
23,4.6e-06,20.99966
24,4.800000000000001e-06,20.99975
25,5e-06,20.99972
26,5.2e-06,20.99969
27,5.400000000000001e-06,20.99975
28,5.600000000000001e-06,20.99966
29,5.8e-06,20.99966
30,6e-06,20.99969
31,6.200000000000001e-06,20.99972
32,6.4000000000000006e-06,20.99967
33,6.6e-06,20.99969
34,6.800000000000001e-06,20.99963
35,7.000000000000001e-06,20.99968
36,7.2000000000000005e-06,20.99969
37,7.4e-06,20.99966
38,7.600000000000001e-06,20.99969
39,7.8e-06,20.99962
40,8.000000000000001e-06,20.99963
41,8.200000000000001e-06,20.99966
42,8.400000000000001e-06,20.99965
43,8.6e-06,20.99965
44,8.8e-06,20.99962
45,9e-06,20.99958
46,9.2e-06,20.99963
47,9.400000000000001e-06,20.99962
48,9.600000000000001e-06,20.99962
49,9.800000000000001e-06,20.99964
50,1e-05,20.9996
51,1e-05,20.9996
52,9.800000000000001e-06,20.9996
53,9.600000000000001e-06,20.99966
54,9.400000000000001e-06,20.99963
55,9.2e-06,20.99962
56,9e-06,20.99963
57,8.8e-06,20.99962
58,8.6e-06,20.99965
59,8.400000000000001e-06,20.99968
60,8.200000000000001e-06,20.99967
61,8.000000000000001e-06,20.99969
62,7.8e-06,20.99965
63,7.6e-06,20.99967
64,7.4e-06,20.99968
65,7.2000000000000005e-06,20.99967
66,7.000000000000001e-06,20.99966
67,6.800000000000001e-06,20.99972
