,I,V
0,0.0,-0.08803645
1,2.0000000000000002e-07,8.206102
2,4.0000000000000003e-07,20.99981
3,6.000000000000001e-07,20.99982
4,8.000000000000001e-07,20.99977
5,1.0000000000000002e-06,20.99973
6,1.2000000000000002e-06,20.9998
7,1.4000000000000001e-06,20.99989
8,1.6000000000000001e-06,20.99983
9,1.8000000000000001e-06,20.99972
10,2.0000000000000003e-06,20.99982
11,2.2e-06,20.99975
12,2.4000000000000003e-06,20.99977
13,2.6e-06,20.99978
14,2.8000000000000003e-06,20.99979
15,3e-06,20.99978
16,3.2000000000000003e-06,20.99978
17,3.4000000000000005e-06,20.99968
18,3.6000000000000003e-06,20.99974
19,3.8000000000000005e-06,20.99974
20,4.000000000000001e-06,20.99972
21,4.2000000000000004e-06,20.99973
22,4.4e-06,20.99978
23,4.6e-06,20.99976
24,4.800000000000001e-06,20.99975
25,5e-06,20.99973
26,5.2e-06,20.99969
27,5.400000000000001e-06,20.99975
28,5.600000000000001e-06,20.99966
29,5.8e-06,20.99965
30,6e-06,20.99969
31,6.200000000000001e-06,20.99969
32,6.4000000000000006e-06,20.99971
33,6.6e-06,20.9997
34,6.800000000000001e-06,20.99972
35,7.000000000000001e-06,20.99967
36,7.2000000000000005e-06,20.99963
37,7.4e-06,20.99969
38,7.600000000000001e-06,20.99966
39,7.8e-06,20.99969
40,8.000000000000001e-06,20.99965
41,8.200000000000001e-06,20.99968
42,8.400000000000001e-06,20.99967
43,8.6e-06,20.99967
44,8.8e-06,20.99964
45,9e-06,20.99965
46,9.2e-06,20.9996
47,9.400000000000001e-06,20.99961
48,9.600000000000001e-06,20.99961
49,9.800000000000001e-06,20.9996
50,1e-05,20.99964
51,1e-05,20.99965
52,9.800000000000001e-06,20.99961
53,9.600000000000001e-06,20.99961
54,9.400000000000001e-06,20.99964
55,9.2e-06,20.99961
56,9e-06,20.99966
57,8.8e-06,20.99957
58,8.6e-06,20.99968
59,8.400000000000001e-06,20.99968
60,8.200000000000001e-06,20.99964
61,8.000000000000001e-06,20.99967
62,7.8e-06,20.99966
63,7.6e-06,20.99969
64,7.4e-06,20.99968
65,7.2000000000000005e-06,20.99967
66,7.000000000000001e-06,20.99967
67,6.800000000000001e-06,20.99974
68,6.6e-06,20.99969
69,6.4000000000000006e-06,20.99971
70,6.2e-06,20.99972
71,6e-06,20.99969
72,5.8e-06,20.9997
73,5.600000000000001e-06,20.99972
74,5.400000000000001e-06,20.99973
75,5.2e-06,20.99974
76,5e-06,20.99977
77,4.800000000000001e-06,20.99976
78,4.6e-06,20.99976
79,4.4e-06,20.99975
80,4.2000000000000004e-06,20.99982
81,4.000000000000001e-06,20.9998
82,3.8e-06,20.99974
83,3.6000000000000003e-06,20.99977
84,3.4000000000000005e-06,20.99978
85,3.2e-06,20.9998
86,3e-06,20.99975
87,2.8000000000000003e-06,20.99981
88,2.6000000000000005e-06,20.99981
89,2.4e-06,20.99977
90,2.200000000000001e-06,20.99979
91,1.9999999999999995e-06,20.99977
92,1.7999999999999997e-06,20.99985
93,1.6e-06,20.9998
94,1.4000000000000001e-06,20.99981
95,1.2000000000000004e-06,20.99985
96,1.0000000000000006e-06,20.99982
97,8.000000000000008e-07,20.99982
98,5.999999999999993e-07,20.99981
99,3.9999999999999956e-07,20.9998
100,1.9999999999999978e-07,20.99984
101,0.0,20.92189
102,-1.9999999999999978e-07,-16.40068
103,-3.9999999999999956e-07,-21.00086
104,-5.999999999999993e-07,-21.00082
105,-8.000000000000008e-07,-21.00075
106,-1.0000000000000006e-06,-21.00078
107,-1.2000000000000004e-06,-21.00081
108,-1.4000000000000001e-06,-21.00083
109,-1.6e-06,-21.00079
110,-1.7999999999999997e-06,-21.00081
111,-1.9999999999999995e-06,-21.0008
112,-2.200000000000001e-06,-21.0008
113,-2.4000000000000007e-06,-21.00077
114,-2.6000000000000005e-06,-21.00082
115,-2.8000000000000003e-06,-21.0008
116,-3e-06,-21.00083
117,-3.2e-06,-21.00082
118,-3.3999999999999996e-06,-21.00081
119,-3.600000000000001e-06,-21.0008
120,-3.800000000000001e-06,-21.00079
121,-4.000000000000001e-06,-21.00079
122,-4.2000000000000004e-06,-21.00079
123,-4.4e-06,-21.00079
124,-4.6e-06,-21.0008
125,-4.8e-06,-21.00079
126,-5.000000000000001e-06,-21.00077
127,-5.200000000000001e-06,-21.00078
128,-5.400000000000001e-06,-21.0008
129,-5.599999999999999e-06,-21.00078
130,-5.8e-06,-21.00076
131,-6.000000000000002e-06,-21.00077
