,I,V
0,0.0,-1.995356e-05
1,2e-08,-3.609445e-05
2,4e-08,-2.536789e-05
3,6.000000000000001e-08,-1.188312e-05
4,8e-08,-2.90458e-05
5,1e-07,-4.559514e-05
6,1.2000000000000002e-07,-3.221264e-05
7,1.4e-07,-5.192889e-05
8,1.6e-07,-5.836511e-05
9,1.8e-07,-6.704836e-05
10,2e-07,-5.887588e-05
11,2.2e-07,-6.194043e-05
12,2.4000000000000003e-07,-3.068009e-05
13,2.6e-07,-2.976062e-05
14,2.8e-07,-1.075919e-05
15,3e-07,-1.688881e-05
16,3.2e-07,-4.518637e-05
17,3.4000000000000003e-07,-2.128154e-05
18,3.6e-07,-3.343818e-05
19,3.8e-07,-2.177956e-06
20,4e-07,-4.733156e-05
21,4.2e-07,2.316752e-06
22,4.4e-07,-2.86368e-05
23,4.6e-07,-2.80239e-05
24,4.800000000000001e-07,-4.365412e-05
25,5e-07,-2.577674e-05
26,5.2e-07,-2.99649e-05
27,5.4e-07,-2.169036e-05
28,5.6e-07,7.527065e-06
29,5.800000000000001e-07,-2.393758e-05
30,6e-07,-2.586574e-06
31,6.2e-07,-1.300671e-05
32,6.4e-07,-1.086111e-05
33,6.6e-07,7.118535e-06
34,6.800000000000001e-07,-5.753827e-06
35,7e-07,-1.290449e-05
36,7.2e-07,2.929795e-06
37,7.4e-07,-1.525419e-05
38,7.6e-07,-1.504977e-05
39,7.8e-07,-1.218947e-05
40,8e-07,-9.226787e-06
41,8.2e-07,-1.239381e-05
42,8.4e-07,-6.264367e-06
43,8.6e-07,-1.647993e-05
44,8.8e-07,-1.382406e-05
45,9.000000000000001e-07,4.258065e-06
46,9.2e-07,-1.086114e-05
47,9.4e-07,-5.140726e-06
48,9.600000000000001e-07,1.193286e-06
49,9.8e-07,-2.465266e-05
50,1e-06,-2.58784e-05
51,1e-06,-1.270027e-05
52,9.8e-07,-5.642397e-05
53,9.6e-07,-4.834204e-06
54,9.399999999999999e-07,-3.354045e-05
55,9.2e-07,-1.862546e-05
56,9e-07,-6.979564e-06
57,8.799999999999999e-07,-1.780799e-05
58,8.599999999999999e-07,-1.004414e-05
59,8.4e-07,-9.431184e-06
60,8.2e-07,-1.290452e-05
61,8e-07,-1.903388e-05
62,7.799999999999999e-07,-8.716073e-06
63,7.599999999999999e-07,-3.742249e-05
64,7.399999999999999e-07,-1.351757e-05
65,7.199999999999999e-07,-1.566287e-05
66,7e-07,-2.434631e-05
67,6.8e-07,-1.852325e-05
68,6.599999999999999e-07,-2.38241e-06
69,6.4e-07,-3.670729e-05
70,6.2e-07,-2.598058e-05
71,6e-07,-3.354016e-05
72,5.8e-07,-2.91476e-05
73,5.599999999999999e-07,-2.62869e-05
74,5.399999999999999e-07,-5.855865e-06
75,5.199999999999999e-07,-3.10886e-05
76,5e-07,-6.979564e-06
77,4.8e-07,-3.476627e-05
78,4.5999999999999994e-07,-5.038164e-06
79,4.399999999999999e-07,-3.425562e-05
80,4.199999999999999e-07,-3.098653e-05
81,4e-07,-3.486843e-05
82,3.7999999999999996e-07,-2.833048e-05
83,3.5999999999999994e-07,-1.985126e-05
84,3.399999999999999e-07,-2.536771e-05
85,3.199999999999999e-07,-3.323404e-05
86,3e-07,-2.87391e-05
87,2.7999999999999997e-07,-4.344949e-05
88,2.5999999999999995e-07,-2.924993e-05
89,2.399999999999999e-07,-3.823987e-05
90,2.199999999999999e-07,-4.886437e-05
91,2e-07,-5.805824e-05
92,1.7999999999999997e-07,-5.560659e-05
93,1.5999999999999995e-07,-4.201944e-05
94,1.3999999999999993e-07,-4.212145e-05
95,1.199999999999999e-07,-3.497052e-05
96,9.999999999999989e-08,-5.591303e-05
97,7.999999999999998e-08,-4.222398e-05
98,5.999999999999995e-08,-6.7457e-05
99,3.999999999999983e-08,-7.481233e-05
100,2.000000000000002e-08,-5.315483e-05
101,0.0,-7.675323e-05
102,-2.000000000000002e-08,-9.943207e-05
103,-4.000000000000004e-08,-7.093034e-05
104,-6.000000000000006e-08,-8.14524e-05
105,-8.000000000000008e-08,-0.000110261
106,-1.000000000000001e-07,-0.000114245
107,-1.2000000000000012e-07,-5.785405e-05
108,-1.4000000000000014e-07,-0.0001038251
109,-1.6000000000000016e-07,-0.0001030077
