,I,V
0,0.0,9.03761e-05
1,2e-08,7.730001e-05
2,4e-08,9.00696e-05
3,6.000000000000001e-08,0.0001001834
4,8e-08,8.833298e-05
5,1e-07,7.668688e-05
6,1.2000000000000002e-07,9.160189e-05
7,1.4e-07,7.004658e-05
8,1.6e-07,9.793579e-05
9,1.8e-07,0.0001053934
10,2e-07,0.0001072322
11,2.2e-07,8.588107e-05
12,2.4000000000000003e-07,9.660769e-05
13,2.6e-07,0.000109071
14,2.8e-07,0.0001209212
15,3e-07,0.0001067214
16,3.2e-07,0.0001001831
17,3.4000000000000003e-07,0.0001071299
18,3.6e-07,0.0001064149
19,3.8e-07,0.0001125445
20,4e-07,0.0001070279
21,4.2e-07,0.000107743
22,4.4e-07,9.916158e-05
23,4.6e-07,0.0001174479
24,4.800000000000001e-07,0.0001266421
25,5e-07,0.0001163243
26,5.2e-07,0.0001084581
27,5.4e-07,0.0001064149
28,5.6e-07,0.0001141789
29,5.800000000000001e-07,0.0001112163
30,6e-07,0.0001189805
31,6.2e-07,0.0001220451
32,6.4e-07,0.0001153028
33,6.6e-07,0.0001067213
34,6.800000000000001e-07,9.384935e-05
35,7e-07,9.190862e-05
36,7.2e-07,9.374725e-05
37,7.4e-07,8.189693e-05
38,7.6e-07,9.762947e-05
39,7.8e-07,9.844662e-05
40,8e-07,8.312284e-05
41,8.2e-07,8.31229e-05
42,8.4e-07,6.912707e-05
43,8.6e-07,8.935443e-05
44,8.8e-07,8.904812e-05
45,9.000000000000001e-07,9.527965e-05
46,9.2e-07,8.925228e-05
47,9.4e-07,9.344082e-05
48,9.600000000000001e-07,7.62784e-05
49,9.8e-07,7.249849e-05
50,1e-06,0.0001087645
51,1e-06,9.058046e-05
52,9.8e-07,9.293004e-05
53,9.6e-07,8.261204e-05
54,9.399999999999999e-07,8.731155e-05
55,9.2e-07,8.026231e-05
56,9e-07,8.915021e-05
57,8.799999999999999e-07,8.220342e-05
58,8.599999999999999e-07,8.547259e-05
59,8.4e-07,8.199926e-05
60,8.2e-07,9.824237e-05
61,8e-07,7.678897e-05
62,7.799999999999999e-07,9.619907e-05
63,7.599999999999999e-07,8.537035e-05
64,7.399999999999999e-07,8.373588e-05
65,7.199999999999999e-07,8.128391e-05
66,7e-07,9.211272e-05
67,6.8e-07,7.58697e-05
68,6.599999999999999e-07,0.0001064148
69,6.4e-07,0.0001074365
70,6.2e-07,6.841216e-05
71,6e-07,0.0001121357
72,5.8e-07,9.425817e-05
73,5.599999999999999e-07,0.0001120337
74,5.399999999999999e-07,9.46667e-05
75,5.199999999999999e-07,0.0001032481
76,5e-07,0.0001216366
77,4.8e-07,0.00011234
78,4.5999999999999994e-07,0.0001159156
79,4.399999999999999e-07,0.0001120337
80,4.199999999999999e-07,0.0001021242
81,4e-07,0.0001154048
82,3.7999999999999996e-07,0.0001011027
83,3.5999999999999994e-07,6.851432e-05
84,3.399999999999999e-07,8.056898e-05
85,3.199999999999999e-07,6.504086e-05
86,3e-07,6.156752e-05
87,2.7999999999999997e-07,8.567702e-05
88,2.5999999999999995e-07,8.537041e-05
89,2.399999999999999e-07,6.166974e-05
90,2.199999999999999e-07,6.647102e-05
91,2e-07,6.340645e-05
92,1.7999999999999997e-07,8.046668e-05
93,1.5999999999999995e-07,5.349691e-05
94,1.3999999999999993e-07,8.005809e-05
95,1.199999999999999e-07,4.992145e-05
96,9.999999999999989e-08,6.524514e-05
97,7.999999999999998e-08,4.941059e-05
98,5.999999999999995e-08,6.095474e-05
99,3.999999999999983e-08,5.73791e-05
100,2.000000000000002e-08,7.423508e-05
101,0.0,5.12496e-05
102,-2.000000000000002e-08,4.593743e-05
103,-4.000000000000004e-08,4.746977e-05
104,-6.000000000000006e-08,5.40078e-05
105,-8.000000000000008e-08,6.708407e-05
106,-1.000000000000001e-07,4.910422e-05
107,-1.2000000000000012e-07,4.154452e-05
108,-1.4000000000000014e-07,7.188538e-05
109,-1.6000000000000016e-07,4.225958e-05
110,-1.7999999999999997e-07,4.84912e-05
111,-2e-07,2.316054e-06
112,-2.2e-07,3.347395e-05
113,-2.4000000000000003e-07,3.480201e-05
114,-2.6000000000000005e-07,2.601647e-05
115,-2.8000000000000007e-07,5.186259e-05
116,-3.000000000000001e-07,2.387131e-05
117,-3.200000000000001e-07,3.745838e-05
118,-3.4000000000000013e-07,2.468855e-05
