,I,V
0,0.0,0.000111191
1,1e-08,7.798674e-05
2,2e-08,3.752863e-05
3,3.0000000000000004e-08,4.426664e-06
4,4e-08,-3.122992e-05
5,5e-08,-7.066655e-05
6,6.000000000000001e-08,-0.0001016232
7,7e-08,-0.0001292081
8,8e-08,-0.0001661926
9,9e-08,-0.0002068552
10,1e-07,-0.0002488459
11,1e-07,-0.0002480284
12,9e-08,-0.0002129854
13,8e-08,-0.0001783504
14,6.999999999999999e-08,-0.00014249
15,6e-08,-9.957986e-05
16,5e-08,-7.28117e-05
17,3.999999999999999e-08,-3.562283e-05
18,2.999999999999999e-08,-2.731394e-07
19,1.9999999999999994e-08,3.4055e-05
20,9.999999999999997e-09,6.797435e-05
21,0.0,0.0001065936
22,-1.000000000000001e-08,0.0001393894
23,-2.000000000000002e-08,0.0001772933
24,-3.0000000000000004e-08,0.000211417
25,-4.0000000000000014e-08,0.0002519776
26,-5e-08,0.0002891663
27,-6.000000000000001e-08,0.0003195099
28,-7.000000000000002e-08,0.0003571073
29,-8e-08,0.0003950113
30,-9.000000000000001e-08,0.0004332205
31,-1e-07,0.0004729619
32,-1e-07,0.0004616219
33,-9e-08,0.0004293383
34,-8e-08,0.0003965438
35,-6.999999999999999e-08,0.000363033
36,-6e-08,0.000315934
37,-5e-08,0.0002799713
38,-3.999999999999999e-08,0.0002478908
39,-2.999999999999999e-08,0.0002142779
40,-1.9999999999999994e-08,0.0001782129
41,-9.999999999999997e-09,0.0001452129
42,0.0,0.0001063896
