,I,V
0,0.0,0.0001743323
1,1e-08,0.0002093754
2,2e-08,0.0002450315
3,3.0000000000000004e-08,0.0002816069
4,4e-08,0.0003171607
5,5e-08,0.0003549622
6,6.000000000000001e-08,0.0003906182
7,7e-08,0.0004253537
8,8e-08,0.00046203
9,9e-08,0.0004986041
10,1e-07,0.0005368127
11,1e-07,0.0005355868
12,9e-08,0.0004983997
13,8e-08,0.0004607018
14,6.999999999999999e-08,0.0004242299
15,6e-08,0.0003881662
16,5e-08,0.0003513864
17,3.999999999999999e-08,0.0003141979
18,2.999999999999999e-08,0.0002771117
19,1.9999999999999994e-08,0.0002402296
20,9.999999999999997e-09,0.0002043693
21,0.0,0.0001699393
22,-1.000000000000001e-08,0.0001324445
23,-2.000000000000002e-08,9.658409e-05
24,-3.0000000000000004e-08,6.072375e-05
25,-4.0000000000000014e-08,2.557857e-05
26,-5e-08,-1.171199e-05
27,-6.000000000000001e-08,-4.890046e-05
28,-7.000000000000002e-08,-8.353463e-05
29,-8e-08,-0.0001189864
30,-9.000000000000001e-08,-0.0001566854
31,-1e-07,-0.0001931589
32,-1e-07,-0.0001924436
33,-9e-08,-0.0001564807
34,-8e-08,-0.0001205185
35,-6.999999999999999e-08,-8.292162e-05
36,-6e-08,-4.736797e-05
37,-5e-08,-1.252917e-05
38,-3.999999999999999e-08,2.35356e-05
39,-2.999999999999999e-08,6.113265e-05
40,-1.9999999999999994e-08,9.668633e-05
41,-9.999999999999997e-09,0.0001322403
42,0.0,0.0001714719
