,I,V
0,0.0,0.0001513461
1,1e-08,0.0001856739
2,2e-08,0.0002228622
3,3.0000000000000004e-08,0.0002575985
4,4e-08,0.0002914154
5,5e-08,0.0003265603
6,6.000000000000001e-08,0.0003612967
7,7e-08,0.0003961352
8,8e-08,0.0004321985
9,9e-08,0.0004674443
10,1e-07,0.0005011576
11,1e-07,0.0005034052
12,9e-08,0.0004662183
13,8e-08,0.0004319941
14,6.999999999999999e-08,0.000396646
15,6e-08,0.000362114
16,5e-08,0.000325743
17,3.999999999999999e-08,0.0002907002
18,2.999999999999999e-08,0.0002553509
19,1.9999999999999994e-08,0.0002198995
20,9.999999999999997e-09,0.0001841414
21,0.0,0.0001505289
22,-1.000000000000001e-08,0.0001157927
23,-2.000000000000002e-08,8.013693e-05
24,-3.0000000000000004e-08,4.468526e-05
25,-4.0000000000000014e-08,1.025572e-05
26,-5e-08,-2.264182e-05
27,-6.000000000000001e-08,-6.044301e-05
28,-7.000000000000002e-08,-9.43623e-05
29,-8e-08,-0.0001294049
30,-9.000000000000001e-08,-0.0001639369
31,-1e-07,-0.0001986732
32,-1e-07,-0.0001981623
33,-9e-08,-0.000162813
34,-8e-08,-0.0001281786
35,-6.999999999999999e-08,-9.36467e-05
36,-6e-08,-5.799081e-05
37,-5e-08,-2.396962e-05
38,-3.999999999999999e-08,1.362717e-05
39,-2.999999999999999e-08,4.550288e-05
40,-1.9999999999999994e-08,8.054546e-05
41,-9.999999999999997e-09,0.0001148733
42,0.0,0.0001512442
