,I,V
0,0.0,5.182024e-05
1,1e-08,-5.535642e-05
2,2e-08,-0.000163044
3,3.0000000000000004e-08,-0.0002797225
4,4e-08,-0.0003815868
5,5e-08,-0.0004830419
6,6.000000000000001e-08,-0.0005969621
7,7e-08,-0.0007058759
8,8e-08,-0.0008087611
9,9e-08,-0.0009148133
10,1e-07,-0.001022705
11,1e-07,-0.001025975
12,9e-08,-0.0009055166
13,8e-08,-0.0008038566
14,6.999999999999999e-08,-0.0007044449
15,6e-08,-0.0005952244
16,5e-08,-0.0004819178
17,3.999999999999999e-08,-0.0003823012
18,2.999999999999999e-08,-0.0002722637
19,1.9999999999999994e-08,-0.0001709109
20,9.999999999999997e-09,-6.066888e-05
21,0.0,4.436215e-05
22,-1.000000000000001e-08,0.0001524586
23,-2.000000000000002e-08,0.0002607591
24,-3.0000000000000004e-08,0.0003672208
25,-4.0000000000000014e-08,0.0004808311
26,-5e-08,0.0005956662
27,-6.000000000000001e-08,0.0007007953
28,-7.000000000000002e-08,0.0008073551
29,-8e-08,0.0009154468
30,-9.000000000000001e-08,0.001013527
31,-1e-07,0.001117225
32,-1e-07,0.001129894
33,-9e-08,0.001016592
34,-8e-08,0.0009073758
35,-6.999999999999999e-08,0.0007940733
36,-6e-08,0.0006923155
37,-5e-08,0.0005821801
38,-3.999999999999999e-08,0.0004765401
39,-2.999999999999999e-08,0.0003658926
40,-1.9999999999999994e-08,0.0002547313
41,-9.999999999999997e-09,0.0001504152
42,0.0,4.323866e-05
