,I,V
0,0.0,-0.001530964
1,1e-08,-0.02932652
2,2e-08,-0.05734751
3,3.0000000000000004e-08,-0.08617939
4,4e-08,-0.1162307
5,5e-08,-0.1479344
6,6.000000000000001e-08,-0.1813165
7,7e-08,-0.215893
8,8e-08,-0.2512579
9,9e-08,-0.2873777
10,1e-07,-0.3238322
11,1e-07,-0.3238025
12,9e-08,-0.2874264
13,8e-08,-0.2512308
14,6.999999999999999e-08,-0.2157303
15,6e-08,-0.1812526
16,5e-08,-0.1479963
17,3.999999999999999e-08,-0.1161857
18,2.999999999999999e-08,-0.08616921
19,1.9999999999999994e-08,-0.05734146
20,9.999999999999997e-09,-0.02937577
21,0.0,-0.00151758
22,-1.000000000000001e-08,0.02729459
23,-2.000000000000002e-08,0.05770239
24,-3.0000000000000004e-08,0.08986533
25,-4.0000000000000014e-08,0.1238096
26,-5e-08,0.1587197
27,-6.000000000000001e-08,0.1938624
28,-7.000000000000002e-08,0.2292716
29,-8e-08,0.2649683
30,-9.000000000000001e-08,0.3008462
31,-1e-07,0.3369256
32,-1e-07,0.3368958
33,-9e-08,0.3011474
34,-8e-08,0.2649324
35,-6.999999999999999e-08,0.2292964
36,-6e-08,0.1938879
37,-5e-08,0.1586424
38,-3.999999999999999e-08,0.1240217
39,-2.999999999999999e-08,0.09014362
40,-1.9999999999999994e-08,0.05795827
41,-9.999999999999997e-09,0.02740194
42,0.0,-0.001504094
