,I,V
0,0.0,-0.001302918
1,1e-08,0.01458698
2,2e-08,0.01901144
3,3.0000000000000004e-08,0.02205062
4,4e-08,0.03836372
5,5e-08,0.04672544
6,6.000000000000001e-08,0.064509
7,7e-08,0.07607691
8,8e-08,0.1125828
9,9e-08,0.1270109
10,1e-07,0.09328511
11,1e-07,0.1230939
12,9e-08,0.1039747
13,8e-08,0.09709898
14,6.999999999999999e-08,0.07510708
15,6e-08,0.059482
16,5e-08,0.03829647
17,3.999999999999999e-08,0.02653936
18,2.999999999999999e-08,0.0172574
19,1.9999999999999994e-08,0.003419497
20,9.999999999999997e-09,-0.008031502
21,0.0,-0.02203328
22,-1.000000000000001e-08,-0.05911568
23,-2.000000000000002e-08,-0.06658202
24,-3.0000000000000004e-08,-0.1199302
25,-4.0000000000000014e-08,-0.07372887
26,-5e-08,-0.20653
27,-6.000000000000001e-08,-0.1734009
28,-7.000000000000002e-08,-0.1481655
29,-8e-08,0.08332049
30,-9.000000000000001e-08,0.1429852
31,-1e-07,-0.02597673
32,-1e-07,0.04710239
33,-9e-08,0.07447281
34,-8e-08,0.08635336
35,-6.999999999999999e-08,0.07677374
36,-6e-08,0.05968466
37,-5e-08,0.04239109
38,-3.999999999999999e-08,0.03582886
39,-2.999999999999999e-08,0.01876758
40,-1.9999999999999994e-08,0.01855122
41,-9.999999999999997e-09,0.003673153
42,0.0,0.004194363
